Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,comparison
ENSG00000162511.10,4820.1860507427755,3.63461123336563,0.06932026896819499,52.432157108813804,0,0,SeAx_vs_HH
ENSG00000117091.12,2708.574310706038,4.897754233058513,0.1242299667886127,39.42490173399496,0,0,SeAx_vs_HH
ENSG00000168243.13,1689.4956844418039,6.011735632293612,0.14761245634622305,40.72647919490728,0,0,SeAx_vs_HH
ENSG00000115902.13,3637.2285747395945,5.524285218071107,0.13034801114280278,42.3810472414418,0,0,SeAx_vs_HH
ENSG00000114013.17,2745.7213524085073,7.590835178901058,0.19307668171722564,39.31513174655844,0,0,SeAx_vs_HH
ENSG00000184897.7,3846.5913448119227,4.42684450558341,0.08950266740059928,49.46047569475867,0,0,SeAx_vs_HH
ENSG00000168214.24,4499.684370769909,-2.612524818302766,0.06619120220886869,-39.46936648859846,0,0,SeAx_vs_HH
ENSG00000138821.16,6799.853009418479,-3.9185413191088574,0.0785045273739733,-49.91484504380286,0,0,SeAx_vs_HH
ENSG00000109320.16,15476.774293012857,-3.7979951472104703,0.09945268893257561,-38.18896389805345,0,0,SeAx_vs_HH
ENSG00000109332.22,33282.73697944855,-3.2303842911207594,0.046707400449606515,-69.16215118000586,0,0,SeAx_vs_HH
ENSG00000145354.14,6413.875660822426,-3.9266902533155723,0.05436701869330779,-72.22559462873254,0,0,SeAx_vs_HH
ENSG00000164038.18,5590.461858985947,-4.368938810446684,0.09196008269380557,-47.5090787488056,0,0,SeAx_vs_HH
ENSG00000176788.11,8491.62769448395,11.145700101719706,0.22786447658151915,48.91372393332359,0,0,SeAx_vs_HH
ENSG00000049860.15,1945.2214584199528,3.8380809473707975,0.10094018091322265,38.02332146274198,0,0,SeAx_vs_HH
ENSG00000112679.16,962.3773476285189,5.103747972632334,0.13104862503019543,38.945452281215154,0,0,SeAx_vs_HH
ENSG00000242265.6,5471.621667585302,-7.1121362805479835,0.10260722119837624,-69.3141885871531,0,0,SeAx_vs_HH
ENSG00000006453.16,1925.2819601664737,7.770878058274221,0.18141189849198616,42.835547849236015,0,0,SeAx_vs_HH
ENSG00000082556.15,859.030873397863,-6.992511594304226,0.18148023954067954,-38.53042960490927,0,0,SeAx_vs_HH
ENSG00000110448.13,3185.0086805027213,-7.65844182332088,0.18598771888006302,-41.17713722947234,0,0,SeAx_vs_HH
ENSG00000198033.14,1760.710547223782,-7.881191814953997,0.18266265027168058,-43.14615934473755,0,0,SeAx_vs_HH
ENSG00000167522.19,3092.1646555165785,4.202392656572637,0.0917427792720817,45.806249711594134,0,0,SeAx_vs_HH
ENSG00000141510.21,2896.218007774226,4.704627277188956,0.11140736624052389,42.2290503397402,0,0,SeAx_vs_HH
ENSG00000184640.22,8194.370637708555,-3.8118744931345545,0.09984484812258415,-38.177978782185534,0,0,SeAx_vs_HH
ENSG00000141682.14,4594.72656975394,5.309506153111002,0.11882377891532846,44.68386884829218,0,0,SeAx_vs_HH
ENSG00000141905.21,1554.3987808482098,3.1102607513315665,0.08200833918058166,37.92615217438801,0,0,SeAx_vs_HH
ENSG00000064787.16,3412.039559517651,-8.604030076241568,0.18404032068913495,-46.750788327383724,0,0,SeAx_vs_HH
ENSG00000196576.18,6271.341793987674,7.567620403280492,0.13859766907029702,54.60135407791151,0,0,SeAx_vs_HH
ENSG00000169991.12,1120.0131391768891,-3.617501682023081,0.09809431529992149,-36.87779124572753,1.0490596752560317e-297,6.712108600789931e-295,SeAx_vs_HH
