comparison,Down,NS,Up
HuT78_vs_HH,3112,11043,3782
HuT78_vs_MyLa,3463,11200,3274
MyLa_vs_HH,2817,11410,3710
SeAx_vs_HH,2739,10860,4338
SeAx_vs_HuT78,3433,10339,4165
SeAx_vs_MyLa,3345,10569,4023
