Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,comparison
ENSG00000263528.10,1173.3489406767785,4.986494510797172,0.12553679356825634,39.721378641760005,0,0,HuT78_vs_HH
ENSG00000266094.10,2723.8539153114534,3.2178659542165553,0.07644446791532111,42.094163802422464,0,0,HuT78_vs_HH
ENSG00000115756.15,1149.4229236828794,3.680291885024908,0.08749434139438701,42.06319890375229,0,0,HuT78_vs_HH
ENSG00000115902.13,3637.2285747395945,5.271999287476838,0.1304180642262036,40.423842500321264,0,0,HuT78_vs_HH
ENSG00000153551.16,2386.4097429561252,-5.4162538706644945,0.14286302316180063,-37.912216546966626,0,0,HuT78_vs_HH
ENSG00000188001.12,2310.0652792435435,-6.415171225954041,0.13795044885181218,-46.503445833984095,0,0,HuT78_vs_HH
ENSG00000109323.13,1551.1689612149746,-3.5861688702554666,0.07636660509389535,-46.959909581500305,0,0,HuT78_vs_HH
ENSG00000109332.22,33282.73697944855,-4.035967378503184,0.047177016697197136,-85.54944040670904,0,0,HuT78_vs_HH
ENSG00000145354.14,6413.875660822426,-4.089647838616586,0.05487187095210577,-74.53086194538882,0,0,HuT78_vs_HH
ENSG00000164038.18,5590.461858985947,-4.327899340634207,0.09182952849409592,-47.12971319364298,0,0,HuT78_vs_HH
ENSG00000164111.17,8684.019172882872,-3.3829369387856243,0.0891005084501256,-37.967650214692526,0,0,HuT78_vs_HH
ENSG00000028310.20,2563.046826409824,-2.9332318389237053,0.07768735720252451,-37.756875050814415,0,0,HuT78_vs_HH
ENSG00000136573.17,3031.0311090261953,-3.0366143445981866,0.0769457949773974,-39.464331293089934,0,0,HuT78_vs_HH
ENSG00000077782.25,3909.656777072637,-5.793763063782043,0.10337211765855786,-56.047638328539115,0,0,HuT78_vs_HH
ENSG00000104490.19,3058.810443464899,-8.100410305465969,0.20707751963105883,-39.117767683803265,0,0,HuT78_vs_HH
ENSG00000205002.5,1926.3159748573628,-5.999663270744592,0.12487257625466186,-48.04628406567857,0,0,HuT78_vs_HH
ENSG00000156831.11,2347.323892796481,-2.8553729741091223,0.06670967946214575,-42.80297847525106,0,0,HuT78_vs_HH
ENSG00000185885.19,4123.498380441228,7.3004371517871105,0.15310725919168813,47.6818485963952,0,0,HuT78_vs_HH
ENSG00000166902.7,2509.513055397362,2.69351423989853,0.0673718210759383,39.97983425240249,0,0,HuT78_vs_HH
ENSG00000076706.19,1347.2864529612661,-7.419642033954343,0.1703744181323378,-43.54903814369103,0,0,HuT78_vs_HH
ENSG00000111674.11,3480.597651966155,-4.406196145338834,0.10874391917839624,-40.51901180893062,0,0,HuT78_vs_HH
ENSG00000167522.19,3092.1646555165785,4.374137662707869,0.09162329469626322,47.740453748235105,0,0,HuT78_vs_HH
ENSG00000092871.19,5728.617199136145,-4.408684703828626,0.09229113303157027,-47.76932039961559,0,0,HuT78_vs_HH
ENSG00000134046.14,7596.506779396224,-3.5484665166543907,0.07437252435276473,-47.71206231784278,0,0,HuT78_vs_HH
ENSG00000166562.12,6218.360780243479,-3.1033656517400883,0.06300863412692201,-49.253022141200454,0,0,HuT78_vs_HH
ENSG00000105479.18,957.08156557133,6.656271482255627,0.1714141034074707,38.83152756942594,0,0,HuT78_vs_HH
ENSG00000064787.16,3412.039559517651,-5.60789318525093,0.1298246735561655,-43.19589667849086,0,0,HuT78_vs_HH
ENSG00000239713.11,1505.4154203063154,4.728787815970134,0.10509187232675195,44.99670346787022,0,0,HuT78_vs_HH
ENSG00000129675.18,2783.676649134151,6.568534208586684,0.13625210072659563,48.20868209413628,0,0,HuT78_vs_HH
ENSG00000120910.17,1681.6108091320912,-3.3092664879999094,0.08834497635299328,-37.458456888112416,4.374936698281859e-307,2.61256636499065e-304,HuT78_vs_HH
ENSG00000114473.16,2718.0746506866485,-4.037806426853648,0.10825118103334597,-37.300345255446516,1.6200852799847453e-304,9.362525093847325e-302,HuT78_vs_HH
ENSG00000076641.6,2147.006745442161,4.841267226253846,0.13082647397844382,37.00525649763777,9.425732255810103e-300,5.276937292588688e-297,HuT78_vs_HH
ENSG00000171033.15,1501.8227266918727,-5.493680666456292,0.14852817938014998,-36.98746385623908,1.8213928840131933e-299,9.88795561124132e-297,HuT78_vs_HH
ENSG00000107130.12,2442.0462194976963,7.5694500427054745,0.20518998641681996,36.88995830103036,6.695139215845992e-298,3.5277476191729684e-295,HuT78_vs_HH
ENSG00000123685.10,7582.861655230532,-4.934037098258841,0.13389745901067102,-36.849370665545045,2.9932160452466768e-297,1.5320990128741204e-294,HuT78_vs_HH
ENSG00000145349.22,2096.7345894253535,-4.247629931002488,0.11557962124075492,-36.750682217192775,1.1338212189333205e-295,5.642335315886233e-293,HuT78_vs_HH
ENSG00000109320.16,15476.774293012857,-3.6194988665887036,0.09933669187533921,-36.43667609880676,1.1183734919218404e-290,5.4150435426431806e-288,HuT78_vs_HH
ENSG00000134815.22,2582.947685604884,2.4538089745261136,0.0675202430928973,36.34182671928559,3.537395833302646e-289,1.6676959566741292e-286,HuT78_vs_HH
ENSG00000133739.18,1281.3919292992277,-4.200167344470043,0.11661537158525481,-36.01727017093452,4.489457359196925e-284,2.062272527949049e-281,HuT78_vs_HH
ENSG00000170873.21,1243.5357135343543,-4.9659437153550545,0.13829287589531683,-35.90889034019447,2.2194140186238083e-282,9.940200535911381e-280,HuT78_vs_HH
ENSG00000127663.18,2716.1289360535493,4.3742098721532185,0.12265080089351238,35.66393240229215,1.4331900226160497e-278,6.262341281747934e-276,HuT78_vs_HH
ENSG00000168243.13,1689.4956844418039,5.248622040818597,0.14802281369327283,35.458196678348436,2.1686506332772327e-275,9.250327641705148e-273,HuT78_vs_HH
ENSG00000184897.7,3846.5913448119227,3.1950970956058593,0.09014432067416357,35.44424176376995,3.558065133321663e-275,1.4823892293827348e-272,HuT78_vs_HH
ENSG00000189067.17,2615.223577008188,-3.3331269812696664,0.09496344458861537,-35.09905306940873,6.968753244933663e-270,2.837391235976968e-267,HuT78_vs_HH
ENSG00000126561.20,6042.974848145664,4.74299559553523,0.13675570476859353,34.68225039358268,1.4590481207366288e-263,5.808632685110379e-261,HuT78_vs_HH
ENSG00000139116.21,1878.5550556924063,-4.1192967570614645,0.11895951874122246,-34.62771874541911,9.671163530018744e-263,3.75252745239438e-260,HuT78_vs_HH
ENSG00000102226.12,986.0047906290135,5.958925255902591,0.17208796335027457,34.627205412231895,9.844755247699462e-263,3.75252745239438e-260,HuT78_vs_HH
ENSG00000159840.18,6001.252392111533,2.7599350190210052,0.07989343022863835,34.54520617180469,1.6823273943400951e-261,6.278936514500585e-259,HuT78_vs_HH
ENSG00000197879.19,3026.830371026115,-4.405869526783765,0.12773647417053607,-34.49186738082075,1.062168690806258e-260,3.8834187950600227e-258,HuT78_vs_HH
ENSG00000100523.19,1735.697435257237,-2.4826710473060314,0.07212660483529702,-34.42101639159746,1.22269012511086e-259,4.380898718272211e-257,HuT78_vs_HH
ENSG00000198502.9,2782.542410481011,-10.032006611431068,0.2926389342237689,-34.281175326315285,1.4972665919424598e-257,5.259515881303758e-255,HuT78_vs_HH
ENSG00000183624.16,1565.2198118559843,2.6327127070799397,0.07690062369529892,34.23525818869116,7.22840553968389e-257,2.4903247162199404e-254,HuT78_vs_HH
ENSG00000180096.14,1492.2303880612508,6.4847799477332355,0.19172953201021675,33.82254094996528,9.197476101242685e-251,3.1089204595049568e-248,HuT78_vs_HH
ENSG00000135426.18,1820.1145472152489,5.573068758426029,0.16532589712834567,33.709593325839016,4.182441419743443e-249,1.3875636673093291e-246,HuT78_vs_HH
ENSG00000105402.9,2634.937377974605,2.3371836677046485,0.06951878389775693,33.61945558688145,8.718323832372724e-248,2.839795844671952e-245,HuT78_vs_HH
ENSG00000105976.18,1509.5822454094707,-7.841902892653426,0.23333832659754034,-33.60743606505357,1.3063231064183272e-247,4.179067580622202e-245,HuT78_vs_HH
ENSG00000166228.11,990.092695353229,-5.415873128427783,0.1614245331311335,-33.55049584704816,8.85429596028143e-247,2.7828896864638916e-244,HuT78_vs_HH
ENSG00000103811.20,1229.5914043706284,5.026263053154226,0.15053037024948193,33.39035866864563,1.8922814275875023e-244,5.844865823315535e-242,HuT78_vs_HH
ENSG00000130005.15,2182.6652466401765,-2.4567512772283817,0.07369602136398723,-33.33628100619437,1.1514550849651671e-243,3.496325058839147e-241,HuT78_vs_HH
ENSG00000143198.15,3118.9944903337005,-3.9405876425356845,0.11901591980815057,-33.10975245066182,2.1512289724707315e-240,6.423211173635526e-238,HuT78_vs_HH
ENSG00000167693.18,1754.9517197191544,-7.310014649558251,0.22108429105800945,-33.06437836255044,9.66686033292255e-240,2.8390459485952047e-237,HuT78_vs_HH
ENSG00000010810.20,1249.3601428909724,2.9508685279986584,0.08938971122110162,33.01127711107391,5.596116284412999e-239,1.617006826375143e-236,HuT78_vs_HH
ENSG00000184489.15,1641.7976348188938,7.28244671386797,0.2207141079143168,32.994930784828135,9.602723268853995e-239,2.7306791644685604e-236,HuT78_vs_HH
ENSG00000105810.12,2929.958915644123,-7.410009971095755,0.22509281337955472,-32.91979810390877,1.1449113479565118e-237,3.204857312287642e-235,HuT78_vs_HH
