Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,Ensembl,gene_symbol,gene_type,DEG_class
ENSG00000189057.13,932.455997952727,-13.44773589224014,3.3131348744723317,2.059846719742472e-24,1.4443113105356707e-23,HuT78_vs_HH,ENSG00000189057,FAM111B,protein_coding,Down
ENSG00000137558.10,191.95288485938158,-13.439921559680752,3.310570870013125,1.179350657141057e-23,8.009123207991674e-23,HuT78_vs_HH,ENSG00000137558,PI15,protein_coding,Down
ENSG00000242265.6,5471.621667585302,-13.428331140044998,0.58531781266075,7.433288217121971e-114,4.281908630538267e-112,HuT78_vs_HH,ENSG00000242265,PEG10,protein_coding,Down
ENSG00000188921.16,218.21115317289784,-13.380335000535002,3.3111335205587182,8.802662367919146e-24,6.00989696346309e-23,HuT78_vs_HH,ENSG00000188921,HACD4,protein_coding,Down
ENSG00000168386.20,294.8959649457269,-13.356859255146365,4.040834089507018,5.343065049586944e-8,1.4631040310239993e-7,HuT78_vs_HH,ENSG00000168386,FILIP1L,protein_coding,Down
ENSG00000185338.9,997.5450056645236,-13.322124301707666,3.3013625277104928,7.136809598959366e-24,4.8986951710864764e-23,HuT78_vs_HH,ENSG00000185338,SOCS1,protein_coding,Down
ENSG00000170989.12,2370.043924074446,-13.3153734180876,1.3265807464383088,4.109802434470071e-30,3.6721750929442056e-29,HuT78_vs_HH,ENSG00000170989,S1PR1,protein_coding,Down
ENSG00000186367.7,280.3714722719942,-13.3145501777276,3.30009290659159,6.913457971607842e-24,4.749026056800402e-23,HuT78_vs_HH,ENSG00000186367,MINAR2,protein_coding,Down
ENSG00000144908.16,169.58320457013716,-13.268075318902413,3.3023788572546207,3.592106147296445e-23,2.372882803422412e-22,HuT78_vs_HH,ENSG00000144908,ALDH1L1,protein_coding,Down
ENSG00000197565.19,226.20019996103804,-13.255415880531778,3.297441619625396,2.1223062965516914e-23,1.4192279694932272e-22,HuT78_vs_HH,ENSG00000197565,COL4A6,protein_coding,Down
ENSG00000147862.20,306.8985045652278,-13.223471398143795,3.293658084387378,2.5223190934522006e-23,1.6798270096355455e-22,HuT78_vs_HH,ENSG00000147862,NFIB,protein_coding,Down
ENSG00000114455.17,1707.8579089104685,-13.180195186261285,1.3314622698150254,3.921101197991073e-29,3.3562602944104196e-28,HuT78_vs_HH,ENSG00000114455,HHLA2,protein_coding,Down
ENSG00000185433.12,266.9214623542764,-13.177315573187267,3.283260171141247,4.2776794754335093e-23,2.815379419632304e-22,HuT78_vs_HH,ENSG00000185433,LINC00158,lncRNA,Down
ENSG00000156463.20,1605.8516802088313,-13.146718953974297,1.322768697725272,1.5096798421293813e-29,1.3122714396772374e-28,HuT78_vs_HH,ENSG00000156463,SH3RF2,protein_coding,Down
ENSG00000182985.21,5478.140001587072,-13.12300134180108,0.8112505076986896,2.9909090238552165e-56,5.7553313815645766e-55,HuT78_vs_HH,ENSG00000182985,CADM1,protein_coding,Down
