sample_id,sample_name,cell_line,read_pairs_million
25060a001_01,HH-1,HH,30.290613999999998
25060a002_01,HH-2,HH,31.599207
25060a003_01,HH-3,HH,30.784544
25060a004_01,M-1,M,28.786555999999997
25060a005_01,M-2,M,29.392640999999998
25060a006_01,M-3,M,28.407148
25060a007_01,78-1,78,28.164989
25060a008_01,78-2,78,31.51609
25060a009_01,78-3,78,27.625703
25060a010_01,S-1,S,31.606729
25060a011_01,S-2,S,31.837215
25060a012_01,S-3,S,32.980028000000004
