"Geneid","HH-1","HH-2","HH-3","M-1","M-2","M-3","78-1","78-2","78-3","S-1","S-2","S-3"
"ENSG00000187634.15",12.2991200903603,7.76937619309418,2.97089505798588,6.28382526815339,4.21926446547913,2.09257524400461,12.3802567282197,3.78628363021727,220.225335123313,288.126096001793,233.763061412806,0.858387226920781
"ENSG00000188976.13",9379.10399557396,9610.7183508575,7062.80785118509,6713.21999481054,9009.1844499143,9314.0524110645,5914.66765190698,6558.78981844387,4497.34679472412,4350.33701001434,4880.2534513412,6054.20511147227
"ENSG00000187961.17",673.376824947229,694.387997257792,943.754330086847,590.679575206419,916.63520512534,766.928826927688,146.499704617267,148.611632486028,614.255959241004,498.256274296095,650.041128467149,145.067441349612
"ENSG00000187583.13",3.07478002259009,4.85586012068386,78.2335698602948,78.5478158519174,68.5630475640358,12.5554514640276,0,0,18.352111260276,22.9399757963211,13.4863304661234,0
"ENSG00000188290.13",1.0249266741967,0,0,2.0946084227178,0,0,0,0,24.829326999197,27.5279709555853,26.9726609322468,0
"ENSG00000187608.11",763.570372276538,832.294424685214,1196.28041001565,1077.67603348831,4901.73049277037,785.76200412373,1277.229819128,1298.69528516453,682.266724499674,582.675385226557,616.774846650711,1181.14082424299
"ENSG00000188157.17",1295.50731618462,1004.19187295742,467.420822456445,418.921684543559,446.187217224418,1290.07263792884,259.985391292614,317.101254030697,2916.9061544274,3637.36256226468,4062.98182509412,266.100040345442
"ENSG00000131591.20",720.523451960277,605.040171037209,434.7409768186,329.900826578053,374.459721311272,746.003074487642,379.661206332072,337.925813996892,549.483801851795,544.136225888737,511.581469014948,360.522635306728
"ENSG00000186891.15",0,0,1043.7744637057,710.072255301333,959.882665896501,0,8.25350448547982,49.2216871928246,181.362040689787,205.542183135037,133.964215963493,26.6100040345442
"ENSG00000186827.13",2.04985334839339,0,27273.806930663,25508.1413718573,34592.694536347,1.0462876220023,10.3168806068498,29.3436981341839,0,0.917599031852845,0,24.8932295807026
"ENSG00000078808.22",5555.10257414609,5594.92203105194,8806.7232502228,7624.37465869278,9201.1609830936,5276.42847775761,4827.26843594501,5878.20533591232,3677.97900375062,3596.98820486315,3952.3939152719,4973.495592779
"ENSG00000176022.7",927.55864014801,934.267487219575,2377.70634474136,2461.16489669341,2462.99563172344,850.631836687872,1238.02567282197,1216.3436162073,1341.86319391313,1283.72104556213,1293.78863605011,1261.82922357355
"ENSG00000184163.4",3.07478002259009,3.88468809654709,11.8835802319435,2.0946084227178,3.16444834910934,8.37030097601843,11.3485686675348,6.62599635288023,7.55675169540778,2.75279709555853,6.29362088419093,18.0261317653364
