Ensembl,D1,D2,D3,D4
ENSG00000007202,7668,7574,13115,12240
ENSG00000007216,0,0,0,0
ENSG00000007237,1346,312,1124,617
ENSG00000007255,951,572,1284,986
ENSG00000007264,2358,1118,2919,1849
ENSG00000007306,0,0,0,0
ENSG00000007312,321,439,523,406
ENSG00000007314,0,5,0,1
ENSG00000007341,1079,931,1803,1391
ENSG00000007350,161,138,193,224
ENSG00000007372,4,0,0,0
ENSG00000007376,395,310,619,520
ENSG00000007384,4,2,2,5
ENSG00000007392,2432,2045,4061,3701
ENSG00000007402,570,92,404,430
ENSG00000007516,126,207,418,117
ENSG00000007520,888,664,1488,927
ENSG00000007541,290,286,418,388
ENSG00000007545,646,469,797,755
ENSG00000007866,4,0,3,1
ENSG00000007908,0,0,0,0
ENSG00000007923,706,597,1135,1284
ENSG00000007933,0,0,0,0
ENSG00000007944,14222,12270,18780,14849
ENSG00000007952,1,0,0,0
ENSG00000007968,271,211,266,276
ENSG00000008018,4492,4176,6991,5827
ENSG00000008056,4,11,0,4
ENSG00000008083,2450,2114,4345,3671
ENSG00000008086,442,400,661,611
ENSG00000008118,0,0,0,0
ENSG00000008128,521,421,988,675
ENSG00000008130,887,636,1335,1024
ENSG00000008196,0,0,0,0
ENSG00000008197,0,0,0,4
ENSG00000008226,254,245,376,463
ENSG00000008256,262,316,1332,550
ENSG00000008277,195,334,474,446
ENSG00000008282,1270,1981,1593,1370
ENSG00000008283,794,885,1997,1343
ENSG00000008294,4548,4039,7526,6783
ENSG00000008300,190,207,464,283
ENSG00000008311,269,260,494,432
ENSG00000008323,0,0,0,0
ENSG00000008324,1485,1787,2410,1632
ENSG00000008382,284,196,452,354
ENSG00000008394,11,19,11,10
ENSG00000008405,1748,1917,3244,2404
ENSG00000008438,0,0,0,0
ENSG00000008441,76,35,56,65
ENSG00000008513,9516,7432,12320,13332
ENSG00000008516,36,12,40,37
ENSG00000008517,6092,4399,10429,7199
ENSG00000008710,1909,1631,2910,3214
ENSG00000008735,6,2,13,12
ENSG00000008838,933,898,1727,1544
ENSG00000008853,178,110,263,286
ENSG00000008869,4781,5471,10006,10093
ENSG00000008952,6165,6863,10124,7517
ENSG00000008988,101475,99434,163285,137899
ENSG00000009307,46310,52348,88607,64888
ENSG00000009335,4449,4413,7465,6247
ENSG00000009413,4453,5347,6652,6332
ENSG00000009694,448,552,1656,1024
ENSG00000009709,0,0,0,0
ENSG00000009724,2,0,13,3
ENSG00000009765,0,0,0,0
ENSG00000009780,855,790,1497,1083
ENSG00000009790,6753,7529,12895,13605
ENSG00000009830,187,137,235,216
ENSG00000009844,1144,1386,1788,1486
ENSG00000009950,0,0,0,2
ENSG00000009954,5352,5328,7865,7868
ENSG00000010017,5448,4930,7012,6524
ENSG00000010030,86,14,47,42
ENSG00000010072,1655,1641,2277,1963
ENSG00000010165,267,339,394,512
ENSG00000010219,296,285,506,391
ENSG00000010244,11580,13619,20157,16232
ENSG00000010256,2427,1775,3422,2534
ENSG00000010270,1137,1266,1685,1205
ENSG00000010278,15,61,39,20
ENSG00000010282,0,3,1,0
ENSG00000010292,2198,1833,2511,3081
ENSG00000010295,685,565,1005,1056
ENSG00000010310,130,67,134,146
ENSG00000010318,519,299,559,585
ENSG00000010319,104,59,58,57
ENSG00000010322,3972,3235,6043,6058
ENSG00000010327,24,38,83,46
