sample,D1,D2,D3,D4
D1,1,0.9919493729557868,0.9928422281421276,0.9930864125950293
D2,0.9919493729557868,1,0.9937854714584786,0.9929223277310301
D3,0.9928422281421276,0.9937854714584786,1,0.9942537172482683
D4,0.9930864125950293,0.9929223277310301,0.9942537172482683,1
