"Geneid","HH-1","HH-2","HH-3","M-1","M-2","M-3","78-1","78-2","78-3","S-1","S-2","S-3"
"ENSG00000187608.11",745,857,1208,1029,4647,751,1238,1372,632,635,686,1376
"ENSG00000303614.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231702.2",30,22,17,6,13,10,24,31,12,12,17,20
"ENSG00000224969.1",0,0,0,0,0,0,4,0,0,0,3,2
"ENSG00000188157.17",1264,1034,472,400,423,1233,252,335,2702,3964,4519,310
"ENSG00000242590.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000291156.2",1296,1113,1419,986,1209,1374,75,64,162,182,177,153
"ENSG00000273443.2",127,122,278,138,154,131,9,20,23,37,17,31
"ENSG00000217801.13",16,10,53,27,26,26,2,2,3,11,6,3
"ENSG00000304119.1",9,10,2,5,5,11,24,14,16,17,30,35
"ENSG00000304169.1",7,7,2,1,4,5,0,0,0,0,0,1
"ENSG00000237330.3",2,8,1,0,0,2,0,0,0,0,2,0
"ENSG00000131591.20",703,623,439,315,355,713,368,357,509,593,569,420
"ENSG00000285812.1",0,0,0,0,0,0,0,0,3,0,0,0
"ENSG00000299943.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000223823.1",0,0,0,0,0,0,2,4,0,0,0,2
"ENSG00000304965.1",1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207730.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207607.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000198976.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272141.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000205231.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162571.16",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000186891.15",0,0,1054,678,910,0,8,52,168,224,149,31
"ENSG00000186827.13",2,0,27541,24356,32795,1,10,31,0,1,0,29
"ENSG00000078808.22",5420,5761,8893,7280,8723,5043,4679,6210,3407,3920,4396,5794
"ENSG00000176022.7",905,962,2401,2350,2335,813,1200,1285,1243,1399,1439,1470
"ENSG00000184163.4",3,4,12,2,3,8,11,7,7,3,7,21
"ENSG00000260179.1",0,4,4,8,2,2,0,5,3,0,5,4
"ENSG00000160087.23",3294,3541,2895,2618,2602,3045,2220,2594,1837,2184,2311,2650
"ENSG00000230415.2",14,9,24,12,13,6,17,9,10,7,9,17
"ENSG00000162572.22",40,47,111,62,104,32,74,58,63,54,69,92
"ENSG00000131584.21",2510,2982,1458,1230,1001,2907,854,1008,1808,1998,2230,1128
"ENSG00000278073.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000169972.15",1039,1188,775,737,661,1053,554,570,528,668,814,641
