module,total_genes,mapped_to_entrez,mapping_percent
Module 1,1678,1342,79.9761620977354
Module 2,2136,1594,74.62546816479401
Module 3,785,684,87.13375796178345
Module 4,1058,732,69.18714555765595
Module 5,1362,1127,82.74596182085169
Module 6,812,620,76.35467980295566
