Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_line,Ensembl,gene_symbol,gene_type
ENSG00000310526.1,97.76784467557674,-0.46492011859658733,0.1955906798481957,-2.377005483888225,0.01745382864005917,0.027617500449272216,HH,ENSG00000310526,WASH7P,lncRNA
ENSG00000241860.8,41.62389495029507,7.631378071806068,0.5886160008400037,12.964951786759894,1.9335193887785805e-38,2.27290025262259e-37,HH,ENSG00000241860,ENSG00000241860,lncRNA
ENSG00000269981.1,6.0653320397426524,2.1803248428839797,0.8573879290669493,2.542985233366551,0.010990987395625906,0.0180380669835689,HH,ENSG00000269981,ENSG00000269981,transcribed_processed_pseudogene
ENSG00000310527.1,46.88186657537872,-1.643898599172224,0.3351622968869278,-4.904783785172646,9.353030794066112e-7,2.5012620790520136e-6,HH,ENSG00000310527,WASH9P,lncRNA
ENSG00000292994.2,13.630693476555624,0.7607215347403747,0.47237621737181956,1.6104145525632827,0.10730738571756787,0.14452050933169663,HH,ENSG00000292994,ENSG00000292994,lncRNA
ENSG00000225880.7,91.37143400301866,0.7860803019570691,0.1832435155138812,4.289812383006379,1.7882412191967783e-5,4.2460359763963266e-5,HH,ENSG00000225880,LINC00115,lncRNA
ENSG00000225972.1,87.78028791578733,0.9527131456183864,0.3449582282515622,2.7618217731673194,0.005747984602007001,0.009915757741449727,HH,ENSG00000225972,MTND1P23,unprocessed_pseudogene
ENSG00000225630.1,1744.4823649204332,0.3583856167426914,0.12426791803855292,2.883975384793248,0.003926894468155391,0.006944749693682511,HH,ENSG00000225630,MTND2P28,unprocessed_pseudogene
ENSG00000237973.1,1026.7296539298509,0.3593182413204978,0.2611788505762125,1.375755504428365,0.168897341435404,0.2167320300705725,HH,ENSG00000237973,MTCO1P12,unprocessed_pseudogene
ENSG00000229344.1,401.0435358363025,0.5287677597882688,0.3341385859606294,1.5824803898899962,0.11353994557120516,0.15192083986168797,HH,ENSG00000229344,MTCO2P12,unprocessed_pseudogene
ENSG00000248527.1,8886.283277025457,0.02501855287976313,0.10531514864581444,0.23755891912476018,0.8122232161868606,0.8451027365540484,HH,ENSG00000248527,MTATP6P1,unprocessed_pseudogene
ENSG00000198744.5,345.6644201087869,0.17790317585619908,0.3435401228537555,0.5178526874193736,0.6045610545463489,0.6603286972441069,HH,ENSG00000198744,MTCO3P12,unprocessed_pseudogene
ENSG00000237491.11,27.959352738805872,-0.06559323718395535,0.33359865070700534,-0.19662320889170773,0.8441224070749581,0.8718523700860225,HH,ENSG00000237491,LINC01409,lncRNA
ENSG00000228794.13,411.9564549748462,1.1493741276500837,0.11830690477518456,9.715190587009342,2.597626092786511e-22,1.7077604202668017e-21,HH,ENSG00000228794,LINC01128,lncRNA
ENSG00000272438.2,65.45551571387303,-1.5091360083955765,0.4789499597698731,-3.150926266119094,0.0016275357170296633,0.0030617769999565702,HH,ENSG00000272438,ENSG00000272438,lncRNA
ENSG00000223764.3,35.20070005780707,-1.3142517348839553,1.194558963550211,-1.1001982949238598,0.2712457333536841,0.3300527958317769,HH,ENSG00000223764,LINC02593,lncRNA
ENSG00000187634.15,66.02600817305793,-1.3130192119797255,0.46811737750113275,-2.804893121013326,0.005033326673635681,0.008772453289053725,HH,ENSG00000187634,SAMD11,protein_coding
ENSG00000188976.13,6927.352215710107,0.6415285986038866,0.08258476488338234,7.768122843357208,7.965778930530956e-15,3.6330684709893604e-14,HH,ENSG00000188976,NOC2L,protein_coding
ENSG00000187961.17,562.5717565970623,0.7717853677796144,0.1327229410919683,5.815011040516482,6.062988432981576e-9,1.9434324168342267e-8,HH,ENSG00000187961,KLHL17,protein_coding
ENSG00000187583.13,24.936085808345684,0.11919498936900182,0.6063637647922409,0.1965734041014831,0.8441613849574182,0.8718523700860225,HH,ENSG00000187583,PLEKHN1,protein_coding
ENSG00000188290.13,6.846035621021431,-2.030889092335247,1.4401337935779077,-1.410208621859814,0.15847809072796024,0.20471086562776028,HH,ENSG00000188290,HES4,protein_coding
ENSG00000187608.11,1265.2950029129397,-0.6502954903172328,0.41789372078260784,-1.5561264933567223,0.11967801623181364,0.15933647895310207,HH,ENSG00000187608,ISG15,protein_coding
