ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,cell_line,direction,representative_ID,representative_term
GO:0010631,epithelial cell migration,232,-0.35254639193029363,-1.6022311379607321,1.0438729138495013e-4,0.015725541216233735,0.014439635609748301,2984,"tags=33%, list=20%, signal=27%",7016/116150/5294/5781/9922/54443/8742/5743/3673/56999/5797/6678/2624/1839/575/5168/5581/3728/25865/11221/57669/6091/388/7857/9647/57608/9734/51157/116844/4215/8660/64218/7048/6722/161742/7040/5793/3397/3675/284361/949/5025/2625/23189/5468/54828/25960/23411/4763/25/1803/5217/5728/5747/4163/4851/27086/54566/5613/10519/4846/22846/3964/5607/2876/7046/11156/1647/8766/3315/5829/23499/10755/5578/1512/6776,HH,Down,GO:0090130,tissue migration
GO:0090559,regulation of membrane permeability,51,-0.5249340986398984,-1.8611544083329579,3.6597014164881173e-4,0.03352038382152845,0.030779362136173036,1455,"tags=33%, list=10%, signal=30%",203245/599/1267/50848/637/2729/79680/581/6548/55288/9026/598/596/10449/7157/5366/7805,HH,Down,GO:0090559,regulation of membrane permeability
GO:0097190,apoptotic signaling pathway,497,-0.28854009558709526,-1.4089867136006327,2.7263870635578383e-4,0.029466791382933115,0.027057239194971893,1284,"tags=16%, list=9%, signal=15%",1026/10134/7040/2033/8531/81618/91/5025/5164/10616/7917/317/9368/637/1499/90441/7466/2309/2729/648/51499/79680/581/10625/23411/23368/8445/8879/3428/4763/5518/25/22954/7703/147138/55288/10059/2923/81537/55437/3708/9026/55106/970/1495/51065/55829/5074/10519/4846/6693/8797/5371/4088/80196/10116/27113/489/55179/602/5607/2876/7046/598/8743/10550/596/2534/10449/5295/3315/54541/9641/4193/5578/7157/1512/64782/5366,HH,Down,GO:0097190,apoptotic signaling pathway
GO:0097696,receptor signaling pathway via STAT,113,-0.44640429264869486,-1.83746742122106,5.926047403641267e-5,0.01259094165112813,0.01156135785254938,1897,"tags=35%, list=13%, signal=30%",801/2261/3601/3066/83666/8784/54625/6775/4669/3600/3575/10617/3280/3572/8554/7040/2033/4249/3976/5468/51701/2149/5518/2241/6777/22876/3455/4851/3587/9021/5008/7428/6774/602/3718/1647/2534/7297/6776,HH,Down,GO:0097696,receptor signaling pathway via STAT
GO:0140888,interferon-mediated signaling pathway,75,-0.4835503386175969,-1.877325021951174,2.486907346524853e-4,0.027998431876292303,0.025708950069118768,2763,"tags=40%, list=19%, signal=33%",9755/5469/4615/389856/3665/81844/4938/4940/8772/83666/54502/54625/103/7294/4939/401397/5468/11274/340061/57506/25942/3659/3455/25939/9759/10581/7297/9641/7157/8519,HH,Down,NA,NA
GO:0002396,MHC protein complex assembly,18,-0.7471578377046872,-2.1750245346636743,3.8743530776689905e-5,0.013958002687815482,0.013034139406557994,1858,"tags=78%, list=13%, signal=68%",3108/3112/3115/3117/3127/3119/3109/3123/3113/55080/3105/6892/3111/567,HuT 78,Down,GO:0002501,peptide antigen assembly with MHC protein complex
GO:0032816,positive regulation of natural killer cell activation,17,-0.7389250185949882,-2.094594180436322,7.782558268568821e-5,0.023830883732328893,0.02225354642034842,947,"tags=47%, list=6%, signal=44%",149233/3592/22890/3600/7297/3601/148022/10125,HuT 78,Down,GO:0032816,positive regulation of natural killer cell activation
GO:0006302,double-strand break repair,289,-0.3178730324403084,-1.6274330946906344,1.0802242153705868e-5,0.0016380600657367038,0.001401690340251147,2616,"tags=30%, list=18%, signal=25%",10635/29072/125150/151636/4172/84142/196528/5591/51567/1111/284071/25836/6944/605/8317/55193/84250/3146/253714/1108/7486/55086/25939/7520/113510/5423/54969/545/79913/24144/6605/64769/25900/672/55257/54556/1663/4436/29117/4173/58493/675/57223/9401/8193/8914/25913/1653/86/79184/9275/9937/27339/6597/1457/23028/23126/142/7913/3297/8110/5892/7155/55345/6118/9907/8089/84515/6119/6599/83990/4176/9319/85456/3980/25/23137/254394/149840/6419/54799/80010/8289/79677/348654/6595,MyLa,Down,GO:0006302,double-strand break repair
GO:0016126,sterol biosynthetic process,45,-0.49271334300781505,-1.8213177658182633,0.0012044400694525008,0.03556718106732959,0.030434887691140843,1883,"tags=40%, list=13%, signal=35%",50814/1717/4598/6309/4597/3156/6307/47/2222/3638/11161/51478/1718/2224/51422/6713/4047/3157,MyLa,Down,GO:0016126,sterol biosynthetic process
GO:0033044,regulation of chromosome organization,236,-0.29901199396246414,-1.4622187778107032,6.237878853073427e-4,0.02530879129962797,0.021656768900086807,2223,"tags=24%, list=15%, signal=20%",10783/23310/605/23397/55193/84250/8260/7520/545/79913/51434/6605/56155/10155/9918/125476/170506/1663/51535/1843/29117/23293/29882/8193/4216/9869/57343/25913/51451/86/9275/9183/55196/10576/6597/142/8110/167227/201161/10664/10051/11130/8313/6599/9319/23137/7013/6419/10923/4609/8289/79677/348654/5609/3184/6595,MyLa,Down,GO:0033044,regulation of chromosome organization
