ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,module
GO:0043062,extracellular structure organization,38/1244,189/12061,0.20105820105820105,1.9493271406454686,4.460826012432961,4.031186367618881e-5,0.0019329538632732535,0.0016196882489685545,EMILIN1/CYP1B1/DPP4/FURIN/MATN4/COLGALT2/COL4A2/APLP1/KAZALD1/FKBP10/COL1A1/ADTRP/LAMA2/COL15A1/NID2/LOXL1/LAMA1/IL6/RXFP1/ELF3/ADAMTS9/APBB2/COL1A2/SERPINH1/TNF/TNFRSF1A/COL5A2/PHLDB1/LAMB2/COL18A1/COL16A1/PDGFRA/NOXO1/LAMB1/NFKB2/B4GALT1/CFLAR/FGFR4,38,Module 2
GO:0045229,external encapsulating structure organization,38/1244,189/12061,0.20105820105820105,1.9493271406454686,4.460826012432961,4.031186367618881e-5,0.0019329538632732535,0.0016196882489685545,EMILIN1/CYP1B1/DPP4/FURIN/MATN4/COLGALT2/COL4A2/APLP1/KAZALD1/FKBP10/COL1A1/ADTRP/LAMA2/COL15A1/NID2/LOXL1/LAMA1/IL6/RXFP1/ELF3/ADAMTS9/APBB2/COL1A2/SERPINH1/TNF/TNFRSF1A/COL5A2/PHLDB1/LAMB2/COL18A1/COL16A1/PDGFRA/NOXO1/LAMB1/NFKB2/B4GALT1/CFLAR/FGFR4,38,Module 2
GO:0009617,response to bacterium,68/1244,408/12061,0.16666666666666666,1.6158896034297963,4.291849758598971,4.1107234783837376e-5,0.0019515761464207943,0.001635292497862504,CD55/PRKCA/CD80/MTDH/IL10RA/EMILIN1/NAALADL2/GPX1/CDK19/TLR1/SIGIRR/VIM/SPN/TNFSF4/PRKCE/IL7R/PDE4B/NR4A1/NFKBIZ/CPS1/OAS2/PGLYRP4/CD274/CARD16/C4BPB/CDH1/ITGAM/PRLR/IL13/PTGS2/PTGIR/GBP5/EMILIN2/GJB2/CARD9/LY96/CD36/LOXL1/IL6/CXCL3/LRG1/ADAMTS9/IRAK2/TRAV4/ADGRB1/TNF/CUBN/PDCD1LG2/ANG/TNFRSF1A/UPK1B/PGLYRP3/CYP1A1/LYN/IL17F/PPBP/DMBT1/FOXP3/CD96/IL12RB2/CYBA/RGS1/NFKB2/GSDMB/PCK2/PLSCR3/SLC11A1/CFD,68,Module 2
GO:0008016,regulation of heart contraction,27/1244,117/12061,0.23076923076923078,2.237385604748949,4.560931209764012,4.460040385755014e-5,0.0020927245502698815,0.0017535655800186899,DMD/BIN1/SLC9A1/ATP2A3/TMEM65/SMAD7/GAA/ADM2/PDE4B/GSTO1/CACNA1D/ATP1B2/ABCC9/RYR2/PDE4D/KCNJ12/EDN2/KCND2/TNF/SPTBN4/HCN4/ATP2B2/SCN1B/CACNA1G/CORIN/CACNA2D1/RANGRF,27,Module 2
GO:0043370,"regulation of CD4-positive, alpha-beta T cell differentiation",15/1244,47/12061,0.3191489361702128,3.0942566874187594,4.878265749002755,4.53095434755752e-5,0.0020927245502698815,0.0017535655800186899,CD80/JAK3/BCL6/SASH3/SMAD7/TNFSF4/NFKBIZ/KLHL25/IL12RB1/HLX/FOXP3/NCKAP1L/SOCS1/BATF/IL4R,15,Module 2
GO:0045063,T-helper 1 cell differentiation,9/1244,19/12061,0.47368421052631576,4.592528346589947,5.31444750886689,4.5389646137240394e-5,0.0020927245502698815,0.0017535655800186899,CD80/JAK3/SPN/TNFSF4/NFKBIZ/STAT4/SEMA4A/HLX/IL4R,9,Module 2
GO:0048812,neuron projection morphogenesis,75/1244,464/12061,0.16163793103448276,1.5671343136711386,4.224764599170102,4.83607528234108e-5,0.0022084743789357597,0.0018505563260848021,NLGN1/EIF2AK4/SYT4/RAPGEF2/MACF1/UST/FN1/KIFBP/PRDM8/CYFIP2/SCN11A/MAP1A/MAP2K1/APLP1/ADARB1/MFSD2A/MYO16/PTPRM/CDH1/NKX2-8/CNTNAP1/DSCAML1/ROBO3/NTRK2/LAMA2/ULK2/CHODL/SEMA4A/FSTL4/HMCN2/EDN2/RIMS2/SLIT3/DSCAM/ATP8A2/GAS7/CNTNAP2/APBB2/NRCAM/ADGRB1/SPTBN4/ADORA2A/OLFM1/PRKN/GRIP1/PLXNB3/NOTCH3/SPP1/SCN1B/CDH11/EPHB1/SPAG6/GAP43/LAMB2/DCC/PLXNA2/UNC13A/NCKAP1L/TIAM2/FOXD1/MAPK8IP2/APBB1/CRPPA/ITGA1/CSF1R/NPR2/NEO1/DNM3/ITPKA/PGRMC1/TTL/SEMA4D/TUBB3/TAOK3/VCL,75,Module 2
GO:0061337,cardiac conduction,17/1244,58/12061,0.29310344827586204,2.841736888790331,4.767899688968413,4.9136890321892754e-5,0.0022227489537120356,0.0018625174812181198,BIN1/SLC9A1/ATP2A3/TMEM65/CACNA1D/ATP1B2/ABCC9/RYR2/PDE4D/SPTBN4/HCN4/ATP2B2/SCN1B/CACNA1G/CORIN/CACNA2D1/RANGRF,17,Module 2
GO:0048858,cell projection morphogenesis,77/1244,480/12061,0.16041666666666668,1.555293743301179,4.210181293242035,4.995500559365571e-5,0.0022386378674913937,0.0018758313462959551,NLGN1/EIF2AK4/SYT4/RAPGEF2/MACF1/CD44/UST/FN1/KIFBP/PRDM8/CYFIP2/SCN11A/MAP1A/MAP2K1/APLP1/ADARB1/MFSD2A/MYO16/PTPRM/CDH1/NKX2-8/CNTNAP1/DSCAML1/ENPP2/ROBO3/NTRK2/LAMA2/ULK2/CHODL/SEMA4A/FSTL4/HMCN2/EDN2/RIMS2/SLIT3/DSCAM/ATP8A2/GAS7/CNTNAP2/APBB2/NRCAM/ADGRB1/SPTBN4/ADORA2A/OLFM1/PRKN/GRIP1/PLXNB3/NOTCH3/SPP1/SCN1B/CDH11/EPHB1/SPAG6/GAP43/LAMB2/DCC/PLXNA2/UNC13A/NCKAP1L/TIAM2/FOXD1/MAPK8IP2/APBB1/CRPPA/ITGA1/CSF1R/NPR2/NEO1/DNM3/ITPKA/PGRMC1/TTL/SEMA4D/TUBB3/TAOK3/VCL,77,Module 2
GO:0002683,negative regulation of immune system process,62/1244,366/12061,0.16939890710382513,1.6423795969286454,4.232165059937602,5.4766048626916455e-5,0.002431511140426522,0.002037446467923393,CD55/PAG1/TWSG1/SAMSN1/CD80/JAK3/PIK3R1/RASSF5/EMILIN1/GPX1/BCL6/FN1/TIGIT/SPN/SMAD7/TNFSF4/NLRC3/DPP4/UBASH3A/IL7R/FURIN/IL2RA/CBLB/MAD1L1/CD274/GPR55/SLAMF1/CLNK/SDC4/C4BPB/SMIM30/CD22/GPR18/ADTRP/CTLA4/IL1RL1/PADI2/FBN1/TNFAIP6/INHBA/LRFN5/HLA-DOB/TNF/PDCD1LG2/ADORA2A/PYDC5/CD33/PGLYRP3/TNFAIP8L2/LYN/CCL3/HLX/FOXP3/NCKAP1L/CD96/HLA-DOA/IRF1/SOCS1/LGALS3/IL4R/NLRX1/RHBDF2,62,Module 2
GO:1903532,positive regulation of secretion by cell,40/1244,206/12061,0.1941747572815534,1.8825898292385976,4.332835277692406,5.831961089875571e-5,0.0025655278372434275,0.0021497436484843122,NLGN1/ORAI1/SYT4/ITPR1/SCAMP5/HYAL3/PRKCE/ZP3/GAB2/FRMD4A/PLA2G4A/ABCG1/SDC4/ITGAM/IL13/SYBU/ABAT/PTGES/ACHE/INHBA/GABBR1/FFAR1/CADPS2/RPH3AL/ANG/ADORA2A/CD33/GHRL/SPP1/STX1B/UNC13B/VEGFC/APBB1/UNC13D/RAB9A/RAB3D/PCK2/C2CD2L/IL4R/MYO18A,40,Module 2
GO:0050906,detection of stimulus involved in sensory perception,15/1244,48/12061,0.3125,3.029793006430868,4.778340139979813,5.9686136564881e-5,0.002601772952987313,0.002180114672422495,COMT/SCN11A/PLCB2/RTP4/WHRN/ROM1/ATP8A2/TMC1/PIEZO2/TNF/CST4/PRDM12/CACNA1F/EPHB1/BEST1,15,Module 2
GO:0002449,lymphocyte mediated immunity,42/1244,221/12061,0.19004524886877827,1.8425528509697224,4.286944562148728,6.461634233642328e-5,0.002791309563091438,0.002338933889977503,CD55/CTSH/CD80/STAT5B/BCL6/SASH3/SPN/SMAD7/TNFSF4/IL7R/ZP3/NFKBIZ/IL1R1/SLAMF1/CLNK/CD40LG/IL9/FCER2/C4BPB/PVR/IL12RB1/CARD9/KDM5D/IL6/CD8A/TNF/IL18RAP/FCER1A/CCR6/CFI/GZMB/FUT7/FOXP3/NCKAP1L/CD96/UNC13D/BATF/CORO1A/MYO1G/WAS/RASGRP1/IL4R,42,Module 2
GO:0006953,acute-phase response,10/1244,24/12061,0.4166666666666667,4.039724008574491,5.054882599647082,6.638241338808219e-5,0.0028310722693950293,0.0023722524235290764,PTGER3/FN1/SIGIRR/PTGS2/PTGES/IL6/TNF/AHSG/IL22/SAA1,10,Module 2
GO:0008015,blood circulation,53/1244,301/12061,0.1760797342192691,1.707152471397592,4.213306755378408,6.671765723496107e-5,0.0028310722693950293,0.0023722524235290764,ERAP2/DMD/BIN1/COMT/PTP4A3/EMILIN1/GPX1/SLC9A1/ATP2A3/TMEM65/SMAD7/GAA/SCN11A/SLC4A5/FERMT2/ADM2/PDE4B/CPS1/GSTO1/PTGS2/CACNA1D/GATA6/EMILIN2/ATP1B2/ABAT/ABCC9/RYR2/PDE4D/KCNJ12/EDN2/KCND2/AGTRAP/COL1A2/P2RX1/TNF/SPTBN4/ADORA2A/HCN4/GHRL/ATP2B2/SCN1B/TJP1/CACNA1G/ACVRL1/VEGFC/KL/CORIN/TBXAS1/SCN8A/CACNA2D1/ITGA1/NPR2/RANGRF,53,Module 2
GO:0060047,heart contraction,31/1244,146/12061,0.21232876712328766,2.058599083821521,4.3640663772543,6.973961731711143e-5,0.0029333461845223625,0.0024579512400684607,DMD/BIN1/GPX1/SLC9A1/ATP2A3/TMEM65/SMAD7/GAA/SCN11A/ADM2/PDE4B/GSTO1/CACNA1D/GATA6/ATP1B2/ABCC9/RYR2/PDE4D/KCNJ12/EDN2/KCND2/TNF/SPTBN4/HCN4/ATP2B2/SCN1B/CACNA1G/CORIN/SCN8A/CACNA2D1/RANGRF,31,Module 2
GO:0002292,T cell differentiation involved in immune response,19/1244,71/12061,0.2676056338028169,2.5945269688872785,4.569638881896228,7.22617091089442e-5,0.0029870249584257537,0.002502930523310708,SOCS3/CD80/JAK3/GPR183/BCL6/STAT3/SPN/SMAD7/TNFSF4/NFKBIZ/STAT4/IL12RB1/SEMA4A/IL6/HLX/FOXP3/RORC/BATF/IL4R,19,Module 2
