"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000138061.15",5857.15100494078,4.69898499294443,0.0870254203281148,53.995544925008,0,0
"ENSG00000163975.16",2176.10646079822,-4.41459154188095,0.112201432380525,-39.3452333737513,0,0
"ENSG00000168214.24",6084.63976285883,-2.9234467806929,0.0691270048484321,-42.290951084932,0,0
"ENSG00000109332.22",57649.3464057334,-3.25606689469816,0.065234673868879,-49.9131321058311,0,0
"ENSG00000145354.14",11540.7067554533,-3.31545968276424,0.0675355983306385,-49.0920309394835,0,0
"ENSG00000138795.12",4710.12336693832,-3.3351578343049,0.0880083691141285,-37.8959168074106,0,0
"ENSG00000145349.22",3614.4674004712,-5.02441893710666,0.116107170237472,-43.2739763343668,0,0
"ENSG00000164308.20",7562.62109936327,6.39863916063847,0.118483776002786,54.0043487514106,0,0
"ENSG00000136573.17",5389.81323417483,-5.52807812508755,0.102929839152678,-53.7072453488211,0,0
"ENSG00000156675.18",3794.02035442619,5.06540767500511,0.10481833664967,48.3255872675697,0,0
"ENSG00000178860.11",24115.8012305423,-3.83162891360259,0.0732482323238805,-52.3101895027356,0,0
"ENSG00000076641.6",2551.45332394299,6.13836199206581,0.147243488603379,41.6885123429827,0,0
"ENSG00000080503.27",8783.87694990398,-2.96657121165409,0.0715607087058002,-41.4553078820143,0,0
"ENSG00000150593.20",6683.97596011959,-3.36480857918158,0.0831097018549741,-40.4863512211023,0,0
"ENSG00000203780.14",2329.098861218,-5.7165844213404,0.141302783822497,-40.4562759961014,0,0
"ENSG00000182985.21",4603.67558705971,-6.28687280636967,0.133478222352923,-47.100363606483,0,0
"ENSG00000076706.19",2697.45202887267,-6.75397570717178,0.170855351641662,-39.5303725770147,0,0
"ENSG00000103187.9",10272.513679306,-5.57721643626596,0.120635309786012,-46.2320397415903,0,0
"ENSG00000167522.19",2504.18119572583,4.59616853037058,0.111865528094768,41.0865492582925,0,0
"ENSG00000141510.21",3163.34322471652,5.0132606620283,0.108016982552543,46.4117821435131,0,0
"ENSG00000101577.13",3561.92625182483,4.4014425593334,0.101244156717825,43.473546543536,0,0
"ENSG00000128791.14",2600.82985899255,5.21983528415106,0.116912968856761,44.6471878628475,0,0
"ENSG00000141682.14",3948.76126985769,4.99636705835718,0.126273172612053,39.5679221088984,0,0
"ENSG00000105397.18",12908.1814535497,3.18642452676774,0.0813032268861133,39.1918580455751,0,0
"ENSG00000101096.22",2471.42052263904,3.98079070966961,0.104202688806487,38.2023799506964,0,0
"ENSG00000099985.5",3325.41896932583,6.26828179689424,0.136285388472438,45.9937919035386,0,0
"ENSG00000147010.21",7552.00633804696,-5.08761297896326,0.117339701063697,-43.3579848324439,0,0
"ENSG00000198947.19",5929.05969332658,7.04422853014027,0.129596348939435,54.3551464820379,0,0
