"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000075340.25",2847.24611927571,-3.74672019948002,0.0961560376110406,-38.9650020171986,0,0
"ENSG00000152492.17",8495.06437882745,-2.69012235491072,0.0679008318398606,-39.6184005706319,0,0
"ENSG00000164111.17",7368.72083977994,-3.8992711286626,0.0716743086184495,-54.4026332980754,0,0
"ENSG00000049656.16",7480.95284841127,-2.36766039864725,0.0629975930784011,-37.5833469653464,0,0
"ENSG00000133398.6",3727.1818589934,-3.41707751489723,0.0896833684445592,-38.1015741732495,0,0
"ENSG00000145495.19",4651.20096242552,-2.71859878429079,0.0713043003486814,-38.1267156538486,0,0
"ENSG00000206503.17",12802.204239609,-9.68037720733647,0.192397493669802,-50.3144662786002,0,0
"ENSG00000185811.23",10206.4323792666,-2.79615774707448,0.0607103346308253,-46.0573601525621,0,0
"ENSG00000160991.19",5589.26131235836,4.88726759980833,0.0947211202834544,51.5963872173714,0,0
"ENSG00000159840.18",8779.71555043889,2.74688558726521,0.0658300614984602,41.7269181395108,0,0
"ENSG00000077782.25",3010.56385600787,-5.12308317331346,0.117270316244706,-43.6861035031508,0,0
"ENSG00000185201.19",3336.36615659193,4.37902965547123,0.0888596113359877,49.280315203199,0,0
"ENSG00000185885.19",5953.68562943629,5.06593038263088,0.119515053263654,42.3873833822026,0,0
"ENSG00000026508.23",4680.96993481545,6.14611550411951,0.116539403959277,52.7385184350795,0,0
"ENSG00000149781.16",2261.03596574527,6.25958001755152,0.15227154556129,41.1080086859171,0,0
"ENSG00000134954.16",6318.26989909858,5.18895247749551,0.0877656747185625,59.1228005041252,0,0
"ENSG00000111348.11",11766.6405578593,2.50226432673316,0.0663570112315454,37.7091173983377,0,0
"ENSG00000004700.18",5327.58593546632,-2.89730038738303,0.0664702071612111,-43.5879548314957,0,0
"ENSG00000139116.21",1805.39167247656,-4.54966486923585,0.119935472070747,-37.9342724106852,0,0
"ENSG00000182054.12",2196.07762104721,5.45054365455468,0.136108394648572,40.0456097408822,0,0
"ENSG00000102879.19",26833.291943131,7.97161336916174,0.101859045409295,78.2612220360972,0,0
"ENSG00000103187.9",14805.1676684134,7.80064366382854,0.125838225504639,61.9894601385725,0,0
"ENSG00000141510.21",2848.00589826325,-4.38281784007559,0.110658088929459,-39.606845577005,0,0
"ENSG00000215030.5",2614.98531136394,4.65263371379631,0.106092205099172,43.8546235272154,0,0
"ENSG00000092871.19",6201.88452440678,-5.14311922001725,0.0814544359570266,-63.1410574462837,0,0
"ENSG00000196576.18",9448.34776557994,-4.52338717395421,0.0842830421207141,-53.669006957243,0,0
"ENSG00000078596.13",10831.1302703371,4.04302987822766,0.0632994832523053,63.8714515584994,0,0
"ENSG00000129675.18",3982.14388141301,3.83092144394426,0.0894633370107531,42.8211329014455,0,0
"ENSG00000064115.13",4136.10628518417,-3.28507611838081,0.0875819208225397,-37.5086100821778,6.66734751041996e-308,4.03627423768734e-305
"ENSG00000049089.17",5807.83178186338,-3.8447936228887,0.103535115140617,-37.1351653752148,7.60925136885894e-302,4.45293390105625e-299
"ENSG00000126882.15",1733.4830203166,5.63485546248799,0.154289478626975,36.5213202652098,5.08855705447679e-292,2.88176476285144e-289
"ENSG00000196743.11",7444.01667298317,-3.51331058743245,0.0971265756620721,-36.1724951537069,1.64835955602356e-286,9.04331261423428e-284
"ENSG00000114473.16",1788.00650562813,-4.27401970472313,0.119337081779999,-35.8146825862759,6.52564217752249e-281,3.47164163844196e-278
"ENSG00000109062.14",9102.62163049007,3.95962547941339,0.112163559279302,35.3022452644659,5.42453025356697e-273,2.80097215093005e-270
