"sample_name","HH_score","MyLa_score","HuT78_score","SeAx_score","predicted_identity"
"HH-1",1.16320487835191,-0.94351108279857,-0.552278592918418,0.363144271793942,"HH"
"HH-2",1.24577389455765,-0.945544711679886,-0.513930083084807,0.410437460645811,"HH"
"HH-3",-1.02099839820796,1.33705618049747,-0.1537212369649,-0.262014473233214,"MyLa"
"M-1",-1.03044038537995,1.32842167356707,-0.18055453447558,-0.227661879474325,"MyLa"
"M-2",-1.02504461251526,1.36881662462527,-0.145061744967279,-0.258842070164002,"MyLa"
"M-3",1.22252742078585,-0.925071590789683,-0.523370417626535,0.410341335120238,"HH"
"78-1",-0.334319123072367,0.0267863275139919,1.42632159521775,-1.21224896577647,"HuT 78"
"78-2",-0.282319293229713,0.0503341254689855,1.50020209170197,-1.20912883934101,"HuT 78"
"78-3",0.140323622567073,-0.373595138531197,-0.7059423215544,1.02683342587351,"SeAx"
"S-1",0.122078141305064,-0.471374926171018,-0.818204338228341,1.06415838750684,"SeAx"
"S-2",0.105498835091988,-0.524547659342797,-0.818204338228341,1.07738117469507,"SeAx"
"S-3",-0.30628498025428,0.072230177640373,1.48474392112888,-1.18239982764639,"HuT 78"
