comparison,Down,NS,Up
HuT78_vs_HH,1041,10160,1857
HuT78_vs_MyLa,1247,10338,1473
MyLa_vs_HH,1022,10434,1602
SeAx_vs_HH,733,10392,1933
SeAx_vs_HuT78,1230,10140,1688
SeAx_vs_MyLa,1120,10243,1695
