Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,Ensembl,gene_symbol,gene_type,DEG_class
ENSG00000147044.25,1138.939058887545,5.05377685782367,0.1361864183717153,4.410268094252513e-302,1.4019274163998292e-299,MyLa_vs_HH,ENSG00000147044,CASK,protein_coding,Up
ENSG00000137764.22,1438.9031073648323,3.901596900237298,0.10641758918158832,2.8567050864229135e-295,8.864627950321388e-293,MyLa_vs_HH,ENSG00000137764,MAP2K5,protein_coding,Up
ENSG00000134308.16,31334.80429626778,-2.11578128212304,0.05744146897092973,1.390844279100537e-293,4.215551974306348e-291,MyLa_vs_HH,ENSG00000134308,YWHAQ,protein_coding,Down
ENSG00000164038.18,5634.548211286291,-3.3011687291213936,0.09060391566968577,1.0654160222122152e-291,3.155810685793591e-289,MyLa_vs_HH,ENSG00000164038,SLC9B2,protein_coding,Down
ENSG00000196352.20,1643.633872865497,3.699801656408367,0.1016312788314309,4.064971977985146e-291,1.1773062175351202e-288,MyLa_vs_HH,ENSG00000196352,CD55,protein_coding,Up
ENSG00000152990.16,1592.6206414652231,-7.457235027810202,0.20456910400769157,5.809757705452269e-291,1.6460559168512917e-288,MyLa_vs_HH,ENSG00000152990,ADGRA3,protein_coding,Down
ENSG00000198887.11,2070.084104856796,-2.3431845766934543,0.06461865458841051,1.0976724645934726e-288,3.0438223895844104e-286,MyLa_vs_HH,ENSG00000198887,SMC5,protein_coding,Down
ENSG00000154310.19,3121.6365687101556,-2.2340083190985482,0.06211585744741867,3.717064830740201e-284,1.0092605403966049e-281,MyLa_vs_HH,ENSG00000154310,TNIK,protein_coding,Down
ENSG00000169760.19,906.2718827608372,7.430018353302332,0.20705217356987254,5.581985093356429e-282,1.4846941167696803e-279,MyLa_vs_HH,ENSG00000169760,NLGN1,protein_coding,Up
ENSG00000010017.15,2796.1965687453667,-2.547961271798919,0.07122821921747996,3.956073663406526e-281,1.0311901611035452e-278,MyLa_vs_HH,ENSG00000010017,RANBP9,protein_coding,Down
ENSG00000053254.18,3732.327503085252,2.9277831379207377,0.08192203967668547,1.1169284511032697e-280,2.8542997065154735e-278,MyLa_vs_HH,ENSG00000053254,FOXN3,protein_coding,Up
ENSG00000174946.7,2115.4298646517386,8.15876405355634,0.23057866913291383,4.3699890505049835e-275,1.095270524908297e-272,MyLa_vs_HH,ENSG00000174946,GPR171,protein_coding,Up
ENSG00000115355.20,1851.9907960722126,-6.49109552255755,0.1840702409880193,6.918401344731792e-273,1.7012740514318763e-270,MyLa_vs_HH,ENSG00000115355,CCDC88A,protein_coding,Down
ENSG00000028310.20,2577.584260369731,-2.241534669290186,0.06461840603319542,1.1612583642307184e-264,2.8027185668553616e-262,MyLa_vs_HH,ENSG00000028310,BRD9,protein_coding,Down
ENSG00000103811.20,1228.0189464423358,5.159604992055167,0.14923193314009955,5.112531917921925e-263,1.2114841542959355e-260,MyLa_vs_HH,ENSG00000103811,CTSH,protein_coding,Up
ENSG00000188001.12,2327.185614077698,-8.920186327014333,0.25724169924291235,1.1120728153803303e-262,2.5881508933664007e-260,MyLa_vs_HH,ENSG00000188001,TPRG1,protein_coding,Down
ENSG00000154229.14,1343.7284650316033,4.317184466307457,0.12497311623726737,1.89522088160772e-262,4.333405921051476e-260,MyLa_vs_HH,ENSG00000154229,PRKCA,protein_coding,Up
ENSG00000150593.20,4697.65176375729,-3.3056898213711627,0.09585853423885048,1.2985375153769073e-261,2.917903351363316e-259,MyLa_vs_HH,ENSG00000150593,PDCD4,protein_coding,Down
ENSG00000242265.6,5525.508314924469,-11.69652903174872,0.3384493693061008,9.269389094634204e-260,2.0475923401757218e-257,MyLa_vs_HH,ENSG00000242265,PEG10,protein_coding,Down
ENSG00000058091.19,800.4463472396128,-7.214486747901328,0.21034259948531916,1.286820729472062e-257,2.7951890945348973e-255,MyLa_vs_HH,ENSG00000058091,CDK14,protein_coding,Down
ENSG00000124920.16,1026.1836662331696,-4.8890542326681246,0.14472681914566354,2.2410538306315467e-251,4.788140094200155e-249,MyLa_vs_HH,ENSG00000124920,MYRF,protein_coding,Down
ENSG00000198964.16,2580.794467963846,-4.938339044690187,0.1470606214469568,3.204614807508626e-248,6.736410449396762e-246,MyLa_vs_HH,ENSG00000198964,SGMS1,protein_coding,Down
ENSG00000183486.16,899.7585166587829,6.951559501350824,0.20813106513023968,1.0569094387213198e-244,2.1864604309293587e-242,MyLa_vs_HH,ENSG00000183486,MX2,protein_coding,Up
ENSG00000069535.16,2161.59430731137,-9.846296896412769,0.2942295502215972,1.7801008590865645e-244,3.625008515074249e-242,MyLa_vs_HH,ENSG00000069535,MAOB,protein_coding,Down
ENSG00000145675.18,3175.0046531319276,2.8912172905502223,0.08677711462765866,2.7315102147537144e-244,5.476888096751563e-242,MyLa_vs_HH,ENSG00000145675,PIK3R1,protein_coding,Up
ENSG00000125910.6,1791.017095265679,2.545323104064097,0.07659979395193019,6.168559928833373e-243,1.2181036598861417e-240,MyLa_vs_HH,ENSG00000125910,S1PR4,protein_coding,Up
ENSG00000180096.14,1487.0383785601155,6.371367869060331,0.1917375682996148,8.731978376703347e-243,1.6985652863220108e-240,MyLa_vs_HH,ENSG00000180096,SEPTIN1,protein_coding,Up
ENSG00000107130.12,2436.925739924426,6.634336065502912,0.19951210556056503,4.4517124656962965e-242,8.532230671385269e-240,MyLa_vs_HH,ENSG00000107130,NCS1,protein_coding,Up
ENSG00000110880.13,4927.063180080444,-2.9639708165300673,0.08955619775717254,2.9822797556076316e-241,5.633051022439748e-239,MyLa_vs_HH,ENSG00000110880,CORO1C,protein_coding,Down
ENSG00000109452.15,1183.8050479968,-6.627775699310246,0.20033017387788749,5.8097055533891124e-241,1.0816841782474329e-238,MyLa_vs_HH,ENSG00000109452,INPP4B,protein_coding,Down
ENSG00000172197.13,1004.0884754367371,-2.877265033592552,0.08708168356100922,3.5159074589333517e-240,6.453918579194137e-238,MyLa_vs_HH,ENSG00000172197,MBOAT1,protein_coding,Down
ENSG00000169299.16,2230.3660463541883,1.793866114749637,0.05439903658211637,4.996325857307237e-239,9.044043735872947e-237,MyLa_vs_HH,ENSG00000169299,PGM2,protein_coding,NS
ENSG00000121039.12,2783.1680550853985,3.1894689019207667,0.09698024162528937,3.9285928120000855e-238,7.013883577917414e-236,MyLa_vs_HH,ENSG00000121039,RDH10,protein_coding,Up
ENSG00000180104.18,2816.0315626064353,-2.2331572921109877,0.06821351372510448,1.0481163491811457e-235,1.8459595106591718e-233,MyLa_vs_HH,ENSG00000180104,EXOC3,protein_coding,Down
ENSG00000183918.19,1598.1596503940452,5.276350644670684,0.1612717398318083,1.3622992621600387e-235,2.3673128378309045e-233,MyLa_vs_HH,ENSG00000183918,SH2D1A,protein_coding,Up
ENSG00000120008.17,1232.7692916163453,5.353753490620327,0.16437248418557687,4.880283192990489e-233,8.369043533453294e-231,MyLa_vs_HH,ENSG00000120008,WDR11,protein_coding,Up
ENSG00000155307.21,1142.827781584226,3.665920585910038,0.11312323004029534,1.7869256511362798e-231,3.0245457157479395e-229,MyLa_vs_HH,ENSG00000155307,SAMSN1,protein_coding,Up
ENSG00000099985.5,1724.1693910391098,6.308898987353114,0.19501488104116285,1.8659224403765083e-230,3.117765021208594e-228,MyLa_vs_HH,ENSG00000099985,OSM,protein_coding,Up
ENSG00000164039.17,1259.9902854073384,-4.343449834128279,0.13442537289366283,3.9864454711270897e-230,6.576625800658146e-228,MyLa_vs_HH,ENSG00000164039,BDH2,protein_coding,Down
ENSG00000101096.22,2431.509497999184,3.8068755255460536,0.117973181593348,2.183510685503117e-229,3.5572118455202654e-227,MyLa_vs_HH,ENSG00000101096,NFATC2,protein_coding,Up
ENSG00000184557.6,1611.6084800345475,8.95845080340052,0.27719132375491595,6.977625657143343e-229,1.122708582587027e-226,MyLa_vs_HH,ENSG00000184557,SOCS3,protein_coding,Up
ENSG00000100320.26,566.7279471367833,-5.845372354895093,0.18208509897896394,2.751966656597722e-226,4.373948955541233e-224,MyLa_vs_HH,ENSG00000100320,RBFOX2,protein_coding,Down
ENSG00000135426.18,1816.55778177744,5.253438329343291,0.1641835945363975,2.6150003889209577e-225,4.106180731181547e-223,MyLa_vs_HH,ENSG00000135426,TESPA1,protein_coding,Up
ENSG00000128989.13,5042.883104023984,1.6248412169032342,0.050783146593238536,4.0856243570643936e-225,6.339040743526219e-223,MyLa_vs_HH,ENSG00000128989,ARPP19,protein_coding,NS
ENSG00000103365.18,1091.2921540609066,-6.125152552637421,0.19137099769198618,7.16514089532302e-225,1.0986268386911167e-222,MyLa_vs_HH,ENSG00000103365,GGA2,protein_coding,Down
ENSG00000151689.15,1305.416316433672,5.251842799745413,0.1644923970479214,1.4792759629744504e-224,2.2417911192379083e-222,MyLa_vs_HH,ENSG00000151689,INPP1,protein_coding,Up
ENSG00000109320.16,15591.029788726213,-2.9751104400064112,0.09336376748515061,8.502754073253278e-224,1.273751653295517e-221,MyLa_vs_HH,ENSG00000109320,NFKB1,protein_coding,Down
ENSG00000166446.17,779.9013197291455,2.8961527672205976,0.09100255603224733,4.303804955460069e-223,6.374032952785349e-221,MyLa_vs_HH,ENSG00000166446,CDYL2,protein_coding,Up
ENSG00000136295.18,2350.489260917059,3.1986452641019687,0.10061314935382742,1.2302315832183709e-222,1.801529013942138e-220,MyLa_vs_HH,ENSG00000136295,TTYH3,protein_coding,Up
ENSG00000133812.20,1153.4685342675407,5.765319891357375,0.1815528637778492,2.052542999737103e-222,2.9723103239526294e-220,MyLa_vs_HH,ENSG00000133812,SBF2,protein_coding,Up
ENSG00000099377.16,668.0296786280505,7.124464123060671,0.22434173189546408,3.40928207974454e-221,4.882766301682483e-219,MyLa_vs_HH,ENSG00000099377,HSD3B7,protein_coding,Up
ENSG00000198142.5,1983.9712460020878,-3.7754614816623446,0.11985424469859031,8.187950939543532e-219,1.1599300499464224e-216,MyLa_vs_HH,ENSG00000198142,SOWAHC,protein_coding,Down
ENSG00000198885.12,1191.9076167348464,-7.208513843054884,0.22817432816855518,1.184777821789547e-218,1.660345091546577e-216,MyLa_vs_HH,ENSG00000198885,ITPRIPL1,protein_coding,Down
ENSG00000138795.12,6140.080900400319,-3.4360806873393472,0.10917983347319186,2.623613040515091e-218,3.637611569897147e-216,MyLa_vs_HH,ENSG00000138795,LEF1,protein_coding,Down
ENSG00000142634.15,5306.970736507046,-1.5783240140147208,0.050111743320907884,3.2060063060774576e-218,4.3983031775902634e-216,MyLa_vs_HH,ENSG00000142634,EFHD2,protein_coding,NS
ENSG00000134198.12,1054.6947573576097,5.620728008059557,0.17956343879076853,9.575085691118874e-216,1.2999176230453362e-213,MyLa_vs_HH,ENSG00000134198,TSPAN2,protein_coding,Up
ENSG00000157800.20,1005.054336847644,2.5096500855604584,0.08030882431860677,3.6023365849771003e-215,4.8401291455676856e-213,MyLa_vs_HH,ENSG00000157800,SLC37A3,protein_coding,Up
ENSG00000121594.14,806.750318836333,5.485360225931177,0.17567004294615327,1.4838571227546206e-214,1.9733785592715275e-212,MyLa_vs_HH,ENSG00000121594,CD80,protein_coding,Up
ENSG00000148481.16,1746.1787468331618,4.273712112360597,0.13761950499662368,4.057505222916267e-213,5.34156217881492e-211,MyLa_vs_HH,ENSG00000148481,MINDY3,protein_coding,Up
ENSG00000147649.12,8537.282347434717,2.177194158863509,0.07011487765305764,1.8035663128473222e-212,2.3505879755339153e-210,MyLa_vs_HH,ENSG00000147649,MTDH,protein_coding,Up
ENSG00000105639.22,2501.192473757468,2.0296433287491005,0.06540840901600307,3.945575829958833e-212,5.091355424935988e-210,MyLa_vs_HH,ENSG00000105639,JAK3,protein_coding,Up
ENSG00000196526.13,1293.899632835755,6.390792178986228,0.20693718443549297,2.4111379742723782e-210,3.080819727322736e-208,MyLa_vs_HH,ENSG00000196526,AFAP1,protein_coding,Up
ENSG00000100612.16,2343.4772440237207,2.2794571458688138,0.07417890661910459,3.727792650312474e-208,4.7169244283031525e-206,MyLa_vs_HH,ENSG00000100612,DHRS7,protein_coding,Up
ENSG00000115902.13,3630.0988463125987,3.7267542658299364,0.12156151417604405,3.0608562489959966e-207,3.8357826435735407e-205,MyLa_vs_HH,ENSG00000115902,SLC1A4,protein_coding,Up
ENSG00000101974.16,1215.701571580178,-2.2581847043420966,0.07377989902869406,1.9384908062876614e-206,2.4061286360330563e-204,MyLa_vs_HH,ENSG00000101974,ATP11C,protein_coding,Down
