"Geneid","HH-1","HH-2","HH-3","M-1","M-2","M-3","78-1","78-2","78-3","S-1","S-2","S-3"
"ENSG00000310526.1",80.282770877241,81.248755894695,82.6661555071886,66.3622180970482,64.2978052287149,57.376782298462,72.2174209171744,92.2048915622496,155.349424412456,155.644847071578,149.066819002811,116.496245237303
"ENSG00000241860.8",166.586749570275,165.399253071343,0.972543005966925,0,0,158.568561988477,3.09503232502176,0,2.08522717332155,2.77937226913531,0,0
"ENSG00000269981.1",2.00706927193102,15.4759535037514,12.64305907757,11.5870539534529,15.8109357119791,7.3024995652588,0,0,5.21306793330388,0.926457423045104,1.81788803661965,0
"ENSG00000310527.1",22.0777619912413,4.83623546992232,30.1488331849747,33.7077933191356,33.7299961855553,15.648213354126,24.7602586001741,24.7147132022525,125.113630399293,108.395518496277,121.798498453516,17.6509462480762
"ENSG00000292994.2",23.0812966272068,19.3449418796893,5.83525803580155,8.4269483297839,2.10812476159721,12.5185706833008,14.4434841834349,24.7147132022525,18.767044559894,8.33811680740594,13.6341602746474,12.3556623736534
"ENSG00000225880.7",115.406483136034,148.956052473607,76.8308974713871,86.376220380285,86.4331152254855,133.531420621875,64.995678825457,96.9577210242212,62.5568151996465,53.734530536616,72.7155214647859,97.962751676823
"ENSG00000225972.1",195.689254013275,122.840380936027,103.089558632494,54.7751641435953,93.8115518910758,90.7596374539308,82.5341953339136,57.0339535436595,119.900562465989,59.2932750748867,43.6293128788716,30.0066086217296
"ENSG00000225630.1",2336.22863252771,2037.02237993128,2685.19123947468,2347.95847838604,2677.31844722845,1560.64847851817,1002.79047330705,1095.05190803826,1575.38912944443,1594.43322506062,1118.91008653939,902.845900589098
"ENSG00000237973.1",1655.8321493431,1145.22055927761,1344.05443424629,857.441992555512,1147.87393268968,822.052808203419,672.653691971396,780.414597655741,1480.5112930583,1076.54352557841,767.148751453492,571.008111125266
"ENSG00000229344.1",753.6545116101,464.278605112543,495.996933043132,275.982557800423,463.787447551386,315.050695529737,276.489554368611,297.527124319424,615.142016129857,389.112117678944,287.226309785904,178.27455710557
"ENSG00000248527.1",9932.98582678664,8148.08951972513,17099.2511309105,12944.8460030893,15114.2004782712,6985.36244128185,6183.87458539348,5732.86289703018,6580.97695900281,6780.74187926712,5400.94535679697,5731.26224675035
"ENSG00000198744.5",497.753179438894,377.226366653941,706.066222331988,337.077933191356,555.490874680864,201.340345156421,251.729295768437,253.801093269285,377.426118371201,238.099557722592,176.335139552106,175.626915168358
