ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,cell_line,direction,representative_ID,representative_term,minus_log10_padj,plot_order,term_plot
GO:0009152,purine ribonucleotide biosynthetic process,182,0.3893575802010855,1.6334251609064026,2.632106823266165e-4,0.04178082507402204,0.039057857597259216,2270,"tags=29%, list=17%, signal=24%",6389/4833/9061/2182/29922/6392/38/109/1737/2977/11332/55229/6390/100/10606/498/132/6785/50808/8833/4522/3614/2180/5471/2023/10632/4711/4719/51422/54539/2181/4715/23181/5160/51703/7114/4535/32/5198/84532/4712/4882/10476/517/10891/790955/4713/523/4709/79993/4716/113,HH,Up,GO:0009152,purine ribonucleotide biosynthetic process,1.379022987966125,1,purine ribonucleotide biosynthetic process___HH
GO:0042149,cellular response to glucose starvation,42,-0.59793163302574,-2.1009329653320368,1.8728479255815132e-5,0.009795845992972929,0.009157424659766,1513,"tags=31%, list=12%, signal=27%",9463/143686/7532/8140/2309/3428/23411/6513/11133/27244/596/7157/5366,HH,Down,GO:0042149,cellular response to glucose starvation,2.0089580513268044,2,cellular response to glucose starvation___HH
GO:0060396,growth hormone receptor signaling pathway,19,-0.7371528767859942,-2.085127447112692,4.566895640269884e-5,0.0145013361770897,0.013556245535393138,524,"tags=42%, list=4%, signal=40%",6777/5747/6774/3718/5829/5295/7297/6776,HH,Down,GO:0060396,growth hormone receptor signaling pathway,1.8385919793097534,3,growth hormone receptor signaling pathway___HH
GO:0010952,positive regulation of peptidase activity,130,-0.4349710590719434,-1.8536668036727528,8.513107628159184e-6,0.006563605981310731,0.006135838325077738,1105,"tags=22%, list=8%, signal=21%",10134/317/5468/637/2149/581/4137/22900/3428/23411/23787/23151/23385/26999/65992/51065/9026/4155/4088/27113/489/6774/8301/8743/10550/2534/1512/5366/7805,HH,Down,GO:0010952,positive regulation of peptidase activity,2.1828574978929627,4,positive regulation of peptidase activity___HH
GO:0042098,T cell proliferation,171,-0.41826581761105697,-1.8404880992007888,3.6706727184777026e-6,0.005144840863932962,0.004809537903285585,1716,"tags=29%, list=13%, signal=25%",8772/5588/3105/3600/9047/7048/3280/9231/6504/3572/259307/941/84433/6654/6385/3485/3594/637/581/6655/8379/3559/1499/7292/868/64926/648/25/3115/7784/3659/604/6777/23385/970/3988/3071/5074/6693/1604/4478/5573/942/2534/896/5621/57045/7297/7157,HH,Down,GO:0042098,T cell proliferation,2.2886280539403496,5,T cell proliferation___HH
GO:0050777,negative regulation of immune response,139,-0.42074275649334486,-1.810202175279029,1.547098579323482e-5,0.009277434480676479,0.008672799404324501,1654,"tags=27%, list=13%, signal=23%",6223/54625/3105/3575/55061/7040/6504/259307/941/9474/79132/103/401397/5468/613/11274/197358/4092/7292/5045/3428/140775/57506/604/2241/7301/25939/3071/55829/6693/1604/2876/64092/3718/2534/966/56940,HH,Down,GO:0050777,negative regulation of immune response,2.0325721040534064,6,negative regulation of immune response___HH
GO:0002675,positive regulation of acute inflammatory response,18,0.7631645933806691,2.0536967556568246,6.409764512647399e-5,0.007324883212839486,0.0062788999191421245,1687,"tags=61%, list=13%, signal=53%",5008/241/5733/84699/5743/3569/7784/101/8792/1268/7124,MyLa,Up,GO:0002675,"positive regulation of acute inflammatory
response",2.1351992952637784,1,"positive regulation of acute inflammatory
response___MyLa"
GO:0046631,alpha-beta T cell activation,152,0.5243592470329641,2.031588429010057,1.3433724915268847e-8,4.5369405489652345e-5,3.889071650469014e-5,2107,"tags=36%, list=16%, signal=30%",7297/57045/9021/942/1604/941/10538/1880/3718/30968/3600/64332/6522/54440/29126/604/7535/7292/3559/1386/639/64926/4092/917/6693/10892/8809/915/3569/8651/3566/4297/9308/84433/10148/8764/5914/6774/975/919/868/6778/6775/2841/64410/3726/3662/149233/80149/3707/80762/5734/135/64919,MyLa,Up,GO:0042110,T cell activation,4.343236911592592,2,T cell activation___MyLa
GO:0007340,acrosome reaction,17,0.7603820384265944,2.005734313982008,1.0817076968244995e-4,0.010065476620279007,0.008628140340369649,1107,"tags=35%, list=9%, signal=32%",2054/8372/2683/109/11057/7784,MyLa,Up,GO:0007340,acrosome reaction,1.9971656555834458,3,acrosome reaction___MyLa
GO:0014819,regulation of skeletal muscle contraction,12,0.8253693481708468,2.0027712450625046,7.523598420398934e-5,0.007661294466960952,0.00656727210678318,927,"tags=33%, list=7%, signal=31%",1756/3164/89/9446,MyLa,Up,GO:0014819,regulation of skeletal muscle contraction,2.11569784494155,4,regulation of skeletal muscle contraction___MyLa
GO:0010765,positive regulation of sodium ion transport,19,0.721083627090624,1.949891571976532,2.212895948260632e-4,0.014928749290953289,0.01279694433237563,573,"tags=37%, list=4%, signal=35%",1756/54997/11261/6548/10768/288/482,MyLa,Up,GO:0010765,"positive regulation of sodium ion
transport",1.8259765753151669,5,"positive regulation of sodium ion
transport___MyLa"
GO:0045663,positive regulation of myoblast differentiation,34,-0.5403945114695938,-1.9119001023306723,8.114242120373082e-4,0.031106054035744915,0.026664152109280772,1112,"tags=35%, list=9%, signal=32%",55193/6605/29117/8110/6597/86/6599/8740/8289/6659/4208/6595,MyLa,Down,GO:0045661,regulation of myoblast differentiation,1.5071550779042733,6,regulation of myoblast differentiation___MyLa
GO:0051983,regulation of chromosome segregation,122,-0.3593166606050803,-1.5885300521724735,2.515351713662131e-4,0.015361605411896323,0.013167989191906681,2326,"tags=30%, list=18%, signal=24%",196528/3192/10783/9587/605/23397/23310/56155/55193/6605/51434/9918/1843/51759/8193/29882/29117/51451/23369/9183/8110/9275/6597/86/10051/11130/1457/9319/6599/23137/55920/79677/5359/8289/348654/6595,MyLa,Down,GO:0051983,regulation of chromosome segregation,1.8135633946499596,7,regulation of chromosome segregation___MyLa
GO:0034502,protein localization to chromosome,109,-0.3643007144189579,-1.5744702427278314,8.642739920042761e-4,0.031106054035744915,0.026664152109280772,3136,"tags=40%, list=24%, signal=31%",7203/7518/546/8365/27336/10694/3009/157570/23272/4796/1736/55506/29072/7014/84250/55166/25836/253714/8019/25900/27085/3720/7520/545/80124/7015/4436/9656/675/51535/25913/9183/91272/142/10576/10664/6118/84515/222229/254394/7013/23137/55920/51176,MyLa,Down,GO:0034502,protein localization to chromosome,1.5071550779042733,8,protein localization to chromosome___MyLa
GO:0006302,double-strand break repair,289,-0.3060554188736752,-1.5313828013665145,1.9910568688961744e-5,0.0029042524111980144,0.002489529143328218,2586,"tags=30%, list=20%, signal=25%",157570/11200/4796/151636/84142/4172/10635/196528/29072/284071/1111/8317/605/1108/25939/84250/6944/55086/25836/253714/5591/5423/113510/51567/7486/79913/54969/55193/6605/25900/3146/7520/24144/545/55257/1663/64769/4436/672/54556/4173/8193/675/58493/29117/57223/9401/25913/8914/79184/9937/8110/9275/3297/6597/86/27339/6119/23028/23126/7913/8089/5892/142/9907/1653/55345/7155/1457/6118/83990/84515/85456/9319/6599/25/254394/149840/54799/4176/3980/23137/6419/80010/79677/8289/348654/6595,MyLa,Down,GO:0006302,double-strand break repair,2.5369656414062725,9,double-strand break repair___MyLa
GO:0006354,DNA-templated transcription elongation,130,-0.3392313338735209,-1.518866939405608,5.608326925781873e-4,0.02501499208135931,0.021442885462210817,2429,"tags=28%, list=19%, signal=23%",10771/7469/23160/29072/85403/3192/6917/2068/5438/22916/92105/55756/8861/55193/9150/284695/9733/10025/25920/81857/6830/51574/7936/25896/5434/4686/170394/57805/142/51497/57117/3150/221830/9439/55656/2962,MyLa,Down,GO:0006354,DNA-templated transcription elongation,1.601799630258985,10,DNA-templated transcription elongation___MyLa
GO:0061098,positive regulation of protein tyrosine kinase activity,16,0.7487599451673888,2.0161872569529136,1.584994647749294e-4,0.047523422855016324,0.04477841604255462,1033,"tags=38%, list=8%, signal=35%",4739/1741/1742/285489/57091/5621,HuT 78,Up,GO:0061098,"positive regulation of protein tyrosine
kinase activity",1.3230922870186261,1,"positive regulation of protein tyrosine
kinase activity___HuT 78"
