Geneid,module,Ensembl,gene_symbol,gene_type
ENSG00000136295.18,Module 1,ENSG00000136295,TTYH3,protein_coding
ENSG00000133812.20,Module 1,ENSG00000133812,SBF2,protein_coding
ENSG00000099377.16,Module 1,ENSG00000099377,HSD3B7,protein_coding
ENSG00000198142.5,Module 3,ENSG00000198142,SOWAHC,protein_coding
ENSG00000198885.12,Module 3,ENSG00000198885,ITPRIPL1,protein_coding
ENSG00000138795.12,Module 6,ENSG00000138795,LEF1,protein_coding
ENSG00000134198.12,Module 1,ENSG00000134198,TSPAN2,protein_coding
ENSG00000157800.20,Module 1,ENSG00000157800,SLC37A3,protein_coding
ENSG00000121594.14,Module 1,ENSG00000121594,CD80,protein_coding
ENSG00000148481.16,Module 1,ENSG00000148481,MINDY3,protein_coding
ENSG00000147649.12,Module 1,ENSG00000147649,MTDH,protein_coding
ENSG00000105639.22,Module 1,ENSG00000105639,JAK3,protein_coding
ENSG00000196526.13,Module 1,ENSG00000196526,AFAP1,protein_coding
ENSG00000100612.16,Module 1,ENSG00000100612,DHRS7,protein_coding
ENSG00000115902.13,Module 5,ENSG00000115902,SLC1A4,protein_coding
ENSG00000101974.16,Module 3,ENSG00000101974,ATP11C,protein_coding
ENSG00000198157.13,Module 3,ENSG00000198157,HMGN5,protein_coding
ENSG00000135298.16,Module 3,ENSG00000135298,ADGRB3,protein_coding
ENSG00000103876.16,Module 5,ENSG00000103876,FAH,protein_coding
ENSG00000113356.15,Module 3,ENSG00000113356,POLR3G,protein_coding
ENSG00000167315.20,Module 1,ENSG00000167315,ACAA2,protein_coding
ENSG00000025708.16,Module 1,ENSG00000025708,TYMP,protein_coding
ENSG00000120896.16,Module 3,ENSG00000120896,SORBS3,protein_coding
ENSG00000276045.5,Module 1,ENSG00000276045,ORAI1,protein_coding
ENSG00000140511.14,Module 1,ENSG00000140511,HAPLN3,protein_coding
ENSG00000152270.12,Module 6,ENSG00000152270,PDE3B,protein_coding
ENSG00000149212.13,Module 1,ENSG00000149212,SESN3,protein_coding
ENSG00000137193.16,Module 5,ENSG00000137193,PIM1,protein_coding
ENSG00000116717.14,Module 1,ENSG00000116717,GADD45A,protein_coding
ENSG00000138785.18,Module 3,ENSG00000138785,INTS12,protein_coding
ENSG00000163975.16,Module 3,ENSG00000163975,MELTF,protein_coding
ENSG00000101986.14,Module 1,ENSG00000101986,ABCD1,protein_coding
ENSG00000134330.20,Module 1,ENSG00000134330,IAH1,protein_coding
ENSG00000065989.18,Module 3,ENSG00000065989,PDE4A,protein_coding
ENSG00000100167.21,Module 3,ENSG00000100167,SEPTIN3,protein_coding
ENSG00000123472.15,Module 1,ENSG00000123472,ATPAF1,protein_coding
ENSG00000102743.18,Module 1,ENSG00000102743,SLC25A15,protein_coding
ENSG00000196155.15,Module 2,ENSG00000196155,PLEKHG4,protein_coding
ENSG00000161513.14,Module 1,ENSG00000161513,FDXR,protein_coding
ENSG00000166503.12,Module 4,ENSG00000166503,HDGFL3,protein_coding
ENSG00000115825.13,Module 3,ENSG00000115825,PRKD3,protein_coding
ENSG00000064309.18,Module 3,ENSG00000064309,CDON,protein_coding
ENSG00000164733.25,Module 2,ENSG00000164733,CTSB,protein_coding
ENSG00000121578.15,Module 1,ENSG00000121578,B4GALT4,protein_coding
ENSG00000158234.15,Module 1,ENSG00000158234,FAIM,protein_coding
ENSG00000142875.23,Module 6,ENSG00000142875,PRKACB,protein_coding
ENSG00000110660.17,Module 3,ENSG00000110660,SLC35F2,protein_coding
ENSG00000026103.26,Module 1,ENSG00000026103,FAS,protein_coding
ENSG00000111859.19,Module 1,ENSG00000111859,NEDD9,protein_coding
ENSG00000117676.16,Module 1,ENSG00000117676,RPS6KA1,protein_coding
ENSG00000059804.20,Module 5,ENSG00000059804,SLC2A3,protein_coding
ENSG00000123989.17,Module 1,ENSG00000123989,CHPF,protein_coding
ENSG00000136717.17,Module 1,ENSG00000136717,BIN1,protein_coding
ENSG00000135454.16,Module 4,ENSG00000135454,B4GALNT1,protein_coding
ENSG00000124496.15,Module 4,ENSG00000124496,TRERF1,protein_coding
ENSG00000075407.21,Module 1,ENSG00000075407,ZNF37A,protein_coding
ENSG00000163412.15,Module 3,ENSG00000163412,EIF4E3,protein_coding
ENSG00000143156.16,Module 4,ENSG00000143156,NME7,protein_coding
ENSG00000127561.18,Module 1,ENSG00000127561,SYNGR3,protein_coding
ENSG00000167815.14,Module 6,ENSG00000167815,PRDX2,protein_coding
ENSG00000150995.22,Module 1,ENSG00000150995,ITPR1,protein_coding
ENSG00000133597.13,Module 1,ENSG00000133597,ADCK2,protein_coding
ENSG00000184489.15,Module 1,ENSG00000184489,PTP4A3,protein_coding
ENSG00000100139.16,Module 1,ENSG00000100139,MICALL1,protein_coding
ENSG00000082458.14,Module 1,ENSG00000082458,DLG3,protein_coding
ENSG00000155330.11,Module 3,ENSG00000155330,C16orf87,protein_coding
ENSG00000143061.20,Module 1,ENSG00000143061,IGSF3,protein_coding
ENSG00000108370.19,Module 3,ENSG00000108370,RGS9,protein_coding
ENSG00000123159.18,Module 1,ENSG00000123159,GIPC1,protein_coding
ENSG00000149600.14,Module 5,ENSG00000149600,COMMD7,protein_coding
ENSG00000114737.18,Module 1,ENSG00000114737,CISH,protein_coding
ENSG00000183943.8,Module 1,ENSG00000183943,PRKX,protein_coding
