ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,cell_line,direction,representative_ID,representative_term
GO:0061564,axon development,362,0.33667801510231576,1.5086054592000107,1.442056863165348e-4,0.006825920203780278,0.005627524980033593,3014,"tags=33%, list=23%, signal=26%",23654/25987/5792/22954/4851/596/351/7204/9315/23191/3688/84628/23022/79805/25/83999/3996/7345/107/57142/780/2263/5076/8633/5364/80208/9314/9423/25942/25894/22902/23162/5727/55701/6474/6091/6498/27242/23271/1272/7976/1951/55740/334/1385/26053/27319/1495/23767/348/26128/116448/27023/2131/57698/56288/1719/1268/63923/10211/5728/349667/2048/2664/9355/8301/10100/5747/4853/1946/9024/59277/57463/4756/284656/2115/2043/51393/6092/333/23334/1945/57465/4781/10500/8408/5454/4685/2297/10505/4825/7080/8482/4137/4548/8609/3800/8941/219699/4135/5754/54413/2017/1813/659/63973/2011/4858/2316/55558/3975/144165/4038/3676/23111/6868/7869/4133/170302/115557,SeAx,Up,GO:0061564,axon development
GO:0070050,neuron cellular homeostasis,43,0.5632778160003518,1.919313146771065,2.685330772965397e-4,0.009472372667774018,0.007809352031183167,2446,"tags=47%, list=19%, signal=38%",351/3074/529/9256/57551/54664/23557/8314/7301/51606/528/1268/5562/51382/3300/537/535/760/5028/84286,SeAx,Up,GO:0070050,neuron cellular homeostasis
GO:0090287,regulation of cellular response to growth factor stimulus,218,0.3782128341062,1.620965459725357,1.4544762338979656e-4,0.006825920203780278,0.005627524980033593,2278,"tags=30%, list=17%, signal=25%",7157/4851/7057/83891/9315/23191/3688/753/5468/2033/3592/9839/493/25/650/56884/11171/8817/8573/57608/9480/4052/5579/25942/2260/135228/6091/6498/1499/25778/10563/1030/6653/10253/26524/8321/5170/22905/51341/10016/4734/3690/4091/23090/4853/2817/3066/54778/4756/4088/7049/55959/10370/3087/4488/27020/51742/4681/387914/2297/79176/860/64388/7080/26036,SeAx,Up,GO:0090287,regulation of cellular response to growth factor stimulus
GO:0090596,sensory organ morphogenesis,175,0.4369934001970683,1.8344488103009138,2.876623615294136e-6,7.762568825871227e-4,6.399730537814901e-4,3311,"tags=45%, list=25%, signal=34%",25987/639/50937/4851/6659/596/23322/22882/9215/4646/5594/26018/6496/2263/5076/9423/7291/2260/2624/1499/145258/4041/7976/6015/25836/10253/6656/6495/148398/4669/5308/2535/4124/55714/2048/4211/613/3198/5309/115908/4853/3066/6899/25861/57822/6926/7020/10370/220/23424/140469/8323/6096/84879/5915/56603/7849/11078/5754/8516/8842/6101/26160/121643/3975/23554/10818/6909/23418/55636/2247/128637/5797/182/120114/2138/652/4763,SeAx,Up,GO:0090596,sensory organ morphogenesis
GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,135,0.4530947916067207,1.8472175642546258,8.930204047352915e-6,0.0013770374641018195,0.0011352773686664893,4242,"tags=56%, list=33%, signal=38%",23654/5792/22859/3688/23705/84628/23022/650/10178/9314/1952/6091/5175/1951/53834/57451/64403/6402/9746/23767/79633/2196/57575/55714/253559/222256/91663/1946/57463/1525/65125/6092/27020/54510/3683/81607/84962/5754/23284/56122/9620/4155/56127/5101/90/23418/22920/5099/8404/5797/3556/7048/120114/83872/90952/56109/5802/147409/8832/9069/53827/3675/56126/56106/5291/5310/1016/266727/5819/10686/5817/25945/1825/56129/91179,SeAx,Up,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules
GO:0150063,visual system development,249,0.3781359480818779,1.630781158401206,3.2375953029117436e-5,0.0028934045335636508,0.0023854228886171754,3392,"tags=38%, list=26%, signal=28%",7111/25987/639/50937/4851/6659/596/23322/22882/81029/90780/493/9215/10765/6496/5076/261734/9314/11145/7291/1545/49855/6498/1499/56917/4041/6015/2296/25836/10253/6656/5089/148398/7289/1739/4669/5308/4212/5954/4124/55714/2048/4211/9355/5309/4853/3066/93/4088/57822/4781/7020/10370/23552/220/5316/23424/6096/23094/84879/5915/3280/8842/1027/6101/1813/26160/659/121643/3975/23554/144165/388552/10818/6909/23418/4286/2823/55636/147912/221322/130557/2247/128637/200734/5797/182/7048/120114/10252/652/4763/7046/6604,SeAx,Up,GO:0150063,visual system development
GO:1902476,chloride transmembrane transport,53,0.4971255656151362,1.7392940780351456,0.0018200915468764129,0.030696981495287504,0.025307654502126964,960,"tags=21%, list=7%, signal=19%",9990/6509/80727/284129/10723/94015/53405/57719/84561/23155/55129,SeAx,Up,GO:1902476,chloride transmembrane transport
GO:1990845,adaptive thermogenesis,132,0.38190487786061167,1.5501161871004623,0.0018277417424172584,0.03072997565054811,0.025334856026226437,1867,"tags=27%, list=14%, signal=23%",2171/1152/4851/51043/3988/3662/291/23228/2778/55366/7090/79602/94097/338557/10644/56034/3397/6653/79071/170394/5565/9658/8809/3953/7253/23090/9673/10912/57406/154/58488/5925/93/51393/7840,SeAx,Up,GO:1990845,adaptive thermogenesis
GO:2001222,regulation of neuron migration,31,0.6500240876563719,2.0895786380888843,5.1667032537455374e-5,0.003717959661395288,0.0030652146882220893,1356,"tags=39%, list=10%, signal=35%",23654/23380/9289/4192/84628/8633/1281/9693/25836/653464/57698/63923,SeAx,Up,GO:2001222,regulation of neuron migration
GO:0141091,transforming growth factor beta receptor superfamily signaling pathway,244,0.3246570760701508,1.4030089741350338,0.0034445991664652353,0.04791366417889916,0.03950168387587778,3413,"tags=36%, list=26%, signal=27%",56940/7157/4851/7057/83891/5829/9315/753/5468/2033/9839/25/650/51701/56884/11171/9480/4052/4093/142/4086/25942/135228/6498/1281/3397/1030/6653/10253/3248/26524/8321/5170/3547/1655/657/51341/2131/4091/23090/3077/5747/5796/4853/3066/9863/54778/4756/93/4088/7049/10370/4488/408050/51742/4681/2297/79176/860/64388/7080/26036/222223/3280/53918/8516/1387/659/10454/90/10755/23111/6868/2339/9392/1761/5046/10468/200734/5928/7048/10252/375387/652/25805/375616/7046/285704/100507588,SeAx,Up,NA,NA
