Ensembl,ERR186009,ERR567612,ERR567614,ERR567616,ERR567620,ERR650557,ERR650558,ERR650559
ENSG00000005893,1908,2715,3084,4012,2141,4034,2888,2929
ENSG00000005961,100,30,44,44,37,56,43,158
ENSG00000005981,4,23,23,13,22,8,18,9
ENSG00000006007,456,729,789,996,431,986,866,722
ENSG00000006015,1078,669,912,1070,419,1074,965,850
ENSG00000006016,20,1,0,0,0,2,5,1
ENSG00000006025,490,942,1166,1216,639,1272,1194,1135
ENSG00000006042,12,30,69,28,27,12,13,12
ENSG00000006047,4,1,0,8,3,2,11,9
ENSG00000006059,1,0,0,0,0,0,0,0
ENSG00000006062,777,1327,1612,1691,1281,2018,1639,1501
ENSG00000006071,0,0,0,0,0,0,0,0
ENSG00000006116,1,0,0,0,0,0,1,0
ENSG00000006118,8,2,15,3,1,6,6,3
ENSG00000006125,2720,3963,5089,5741,4290,6433,4916,4995
ENSG00000006128,0,0,0,0,0,0,0,0
ENSG00000006194,1576,3015,3406,4397,1769,3441,3436,3076
ENSG00000006210,12,2,10,9,10,2,8,1
ENSG00000006282,255,758,317,801,368,708,887,547
ENSG00000006283,2,0,0,2,0,0,2,0
ENSG00000006327,0,3,4,3,2,1,4,0
ENSG00000006377,0,0,0,0,0,0,0,0
ENSG00000006432,347,588,658,796,542,899,761,596
ENSG00000006451,400,1109,1474,1547,852,1680,1145,1203
ENSG00000006453,39,41,71,72,66,95,58,86
ENSG00000006459,2894,9309,11757,13766,9412,13109,9390,9141
ENSG00000006468,0,2,6,22,6,16,2,4
ENSG00000006530,561,1309,1616,1734,1220,1670,1365,1332
ENSG00000006534,20,26,37,33,47,29,26,25
ENSG00000006555,152,241,312,290,197,366,330,264
ENSG00000006576,864,1913,2215,2336,2478,2154,2074,1752
ENSG00000006606,0,0,0,0,0,0,0,0
ENSG00000006607,362,717,906,654,574,784,669,457
ENSG00000006611,0,0,0,0,0,0,0,0
ENSG00000006625,159,271,331,356,167,394,360,313
ENSG00000006634,725,2236,2426,2982,1796,2225,1983,1829
ENSG00000006638,51,127,166,86,116,185,143,127
ENSG00000006652,1224,3572,3628,3404,2666,3610,4176,3155
ENSG00000006659,13,14,19,8,10,15,15,24
ENSG00000006695,550,820,971,1068,642,1042,897,852
ENSG00000006704,21,41,65,61,63,54,41,38
ENSG00000006712,793,1556,1665,1378,693,1427,1701,1691
ENSG00000006715,1104,3299,4483,4116,3167,3608,3085,3351
ENSG00000006740,4,1,5,7,5,2,5,1
ENSG00000006744,1229,2882,3213,3686,1908,3846,3373,3245
ENSG00000006747,18,64,46,112,64,68,43,78
ENSG00000006756,53,21,57,50,57,85,68,38
ENSG00000006757,134,127,328,182,123,183,211,182
ENSG00000006788,0,0,1,0,0,0,0,0
ENSG00000006831,774,1576,2110,1833,1089,2075,2082,1586
ENSG00000006837,23,84,95,107,62,75,61,67
ENSG00000007001,2,2,0,0,0,2,0,0
ENSG00000007038,6,52,163,39,28,66,161,76
ENSG00000007047,286,293,381,417,300,527,431,398
ENSG00000007062,0,17,13,50,41,23,11,13
ENSG00000007080,195,154,224,237,129,297,200,206
ENSG00000007129,760,1112,1272,1214,714,1471,1552,1442
ENSG00000007168,2887,7892,9393,10944,6537,9877,8779,7902
ENSG00000007171,14,4,31,11,40,33,3,11
ENSG00000007174,6,10,9,16,18,12,12,9
ENSG00000007202,3908,8226,9048,11016,6372,10378,10484,9257
ENSG00000007216,0,0,0,0,0,0,0,0
ENSG00000007237,20,43,50,105,105,175,53,58
ENSG00000007255,708,530,687,848,276,948,676,607
ENSG00000007264,153,167,212,228,101,242,332,239
ENSG00000007306,0,0,0,0,0,0,0,0
ENSG00000007312,252,250,254,285,120,294,302,243
ENSG00000007314,0,1,1,0,3,5,3,7
ENSG00000007341,710,845,1278,1262,695,1072,992,986
ENSG00000007350,123,117,153,149,122,231,199,146
ENSG00000007372,2,0,3,2,1,2,1,0
ENSG00000007376,359,326,349,509,154,516,416,429
ENSG00000007384,1,9,12,7,4,4,6,4
ENSG00000007392,1527,4054,4443,5335,3837,5370,4544,4409
ENSG00000007402,58,95,85,153,110,108,111,74
ENSG00000007516,19,20,21,47,16,91,41,61
ENSG00000007520,569,428,516,676,198,664,588,548
ENSG00000007541,338,476,541,658,297,779,569,631
ENSG00000007545,333,724,820,841,619,1120,797,681
ENSG00000007866,4,2,2,3,6,5,4,2
ENSG00000007908,0,0,7,2,0,0,1,0
ENSG00000007923,543,1503,1654,1874,1239,2151,1756,1730
ENSG00000007933,5,24,39,26,40,23,21,24
ENSG00000007944,3460,4806,6169,7690,3407,6271,6229,4791
ENSG00000007952,3,0,5,9,6,13,3,2
ENSG00000007968,20,27,44,59,33,83,39,33
ENSG00000008018,1942,2989,3073,4302,1785,3847,3271,3067
ENSG00000008056,0,2,0,2,2,1,0,0
ENSG00000008083,1378,2755,3221,4590,2646,4239,3206,3294
ENSG00000008086,323,676,926,1083,910,935,840,708
ENSG00000008118,0,0,0,0,0,0,0,0
ENSG00000008128,481,1406,1177,788,1114,1336,1272,1354
ENSG00000008130,540,1111,1278,1186,643,1461,1397,1227
ENSG00000008196,0,0,0,0,0,0,0,0
ENSG00000008197,0,0,0,0,0,0,0,1
ENSG00000008226,170,245,438,307,328,414,430,365
ENSG00000008256,83,168,238,230,98,286,196,160
ENSG00000008277,264,453,740,561,683,674,456,493
ENSG00000008282,874,1803,1899,2046,1734,2554,1721,1432
ENSG00000008283,89,121,162,216,123,183,180,210
ENSG00000008294,1542,5163,5983,6612,4544,5532,4446,4270
ENSG00000008300,133,166,382,261,188,330,280,289
ENSG00000008311,76,269,913,519,555,472,690,428
ENSG00000008323,4,3,5,3,4,1,0,3
ENSG00000008324,432,433,507,607,314,573,497,430
ENSG00000008382,161,203,268,336,167,307,293,251
ENSG00000008394,10,58,63,42,61,35,31,29
ENSG00000008405,615,1769,1866,2178,1460,2278,1521,1871
ENSG00000008438,0,0,0,0,0,0,0,0
ENSG00000008441,58,112,79,114,103,119,89,94
ENSG00000008513,6294,9504,11825,13805,8200,12650,14005,11156
ENSG00000008516,16,10,27,14,9,32,20,16
ENSG00000008517,2516,1703,1528,2745,705,3082,2139,2229
ENSG00000008710,2335,2299,2863,3833,1914,4006,3144,3614
ENSG00000008735,4,27,35,42,27,34,22,29
ENSG00000008838,701,1363,1497,1826,1138,1974,1669,1558
ENSG00000008853,165,196,212,304,123,206,204,223
ENSG00000008869,2933,6844,8397,10819,6105,8529,7532,6653
ENSG00000008952,4034,6557,8079,10409,4835,8553,8001,6914
ENSG00000008988,46982,62805,67818,83874,34611,78010,72940,66274
ENSG00000009307,19929,37919,42995,53710,24393,46591,42773,39577
ENSG00000009335,2833,5451,6253,6846,4614,6348,6256,5449
ENSG00000009413,1575,4298,5276,5958,5369,5869,4703,4470
ENSG00000009694,183,473,861,2626,956,1539,1022,1084
ENSG00000009709,2,0,2,0,1,0,0,0
ENSG00000009724,10,8,15,7,4,9,16,1
ENSG00000009765,12,24,29,40,27,23,21,22
ENSG00000009780,439,945,1153,1250,705,1333,1062,903
ENSG00000009790,6669,14153,18309,20934,10841,19670,17471,17539
ENSG00000009830,83,165,280,253,260,261,221,233
ENSG00000009844,603,1359,1752,1676,1048,1723,1514,1411
ENSG00000009950,10,39,45,41,40,22,25,28
ENSG00000009954,3154,6396,7644,7701,4571,7933,8025,6681
ENSG00000010017,1331,3301,3494,4314,2875,3952,3639,3088
ENSG00000010030,10,10,8,10,7,1,11,6
ENSG00000010072,423,1020,1171,1445,757,1079,1068,832
ENSG00000010165,420,448,847,565,349,578,608,410
ENSG00000010219,176,372,425,371,192,422,340,323
ENSG00000010244,6538,20036,25860,28113,18833,23432,17094,16959
ENSG00000010256,1068,1382,1514,1956,799,1622,1623,1413
ENSG00000010270,275,486,598,514,391,565,566,431
ENSG00000010278,30,25,102,51,24,58,50,35
ENSG00000010282,0,3,3,2,2,0,3,3
ENSG00000010292,1737,2888,3154,3675,2136,3762,2482,3138
ENSG00000010295,401,833,1151,1248,507,1298,1149,1066
ENSG00000010310,37,111,183,97,90,132,129,130
ENSG00000010318,204,262,348,416,280,373,310,305
ENSG00000010319,4,2,21,17,1,25,8,3
ENSG00000010322,2647,5645,6600,7442,3723,7235,6912,6413
ENSG00000010327,0,21,112,22,12,24,11,3
ENSG00000010361,129,231,271,259,134,392,309,253
